ticker,SCHL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.005
2000-01-04,-1.7259
2000-01-05,-0.8781
2000-01-06,1.9281000000000001
2000-01-07,-0.6135
2000-01-10,1.6461000000000001
2000-01-11,7.085
2000-01-12,-0.1418
2000-01-13,2.6976
2000-01-14,-0.2765
2000-01-18,3.1423
2000-01-19,-0.3584
2000-01-20,-1.6187
2000-01-21,-3.7477
2000-01-24,0.6648
2000-01-25,-3.3962
2000-01-26,0.8789
2000-01-27,0.2904
2000-01-28,-0.3861
2000-01-31,0.0
2000-02-01,1.2597
2000-02-02,-2.7751
2000-02-03,2.5591
2000-02-04,-2.6871
2000-02-07,0.789
2000-02-08,-2.8376
2000-02-09,1.2085
2000-02-10,-5.4726
2000-02-11,-0.4211
2000-02-14,-5.2854
2000-02-15,-3.5714
2000-02-16,0.2315
2000-02-17,-2.5404
2000-02-18,-5.8057
2000-02-22,0.6289
2000-02-23,1.0
2000-02-24,-0.495
2000-02-25,-0.4975
2000-02-28,0.625
2000-02-29,2.9814
2000-03-01,-1.6888
2000-03-02,0.1227
2000-03-03,1.4706000000000001
2000-03-06,-0.8454
2000-03-07,0.8526
2000-03-08,-1.4493
2000-03-09,1.4706000000000001
2000-03-10,1.4493
2000-03-13,-1.9048
2000-03-14,-1.0922
2000-03-15,0.1227
2000-03-16,7.598
2000-03-17,2.2779
2000-03-20,-1.7816999999999998
2000-03-21,1.7006999999999999
2000-03-22,0.0
2000-03-23,0.1115
2000-03-24,-4.6771
2000-03-27,0.7009
2000-03-28,1.8561
2000-03-29,-3.303
2000-03-30,1.0601
2000-03-31,0.5828
2000-04-03,-2.2016
2000-04-04,-3.3175
2000-04-05,-4.0441
2000-04-06,1.4049
2000-04-07,-0.2519
2000-04-10,-4.9242
2000-04-11,-0.664
2000-04-12,0.8021
2000-04-13,0.0663
2000-04-14,-0.1988
2000-04-17,0.664
2000-04-18,0.9235
2000-04-19,0.5229
2000-04-20,-0.7802
2000-04-24,-2.3590999999999998
2000-04-25,0.9396
2000-04-26,0.133
2000-04-27,-0.5312
2000-04-28,-0.267
2000-05-01,0.6693
2000-05-02,-3.8564
2000-05-03,-1.3831
2000-05-04,2.2439999999999998
2000-05-05,0.1372
2000-05-08,-3.4247
2000-05-09,0.4255
2000-05-10,-0.1412
2000-05-11,2.1216
2000-05-12,1.662
2000-05-15,1.7711000000000001
2000-05-16,4.0161
2000-05-17,-2.7027
2000-05-18,0.3968
2000-05-19,0.0
