ticker,FORM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-06-12,25.5714
2003-06-13,-5.2901
2003-06-16,2.8228
2003-06-17,0.4673
2003-06-18,4.6512
2003-06-19,-4.05
2003-06-20,2.4839
2003-06-23,-3.9548
2003-06-24,-1.7059
2003-06-25,3.8899
2003-06-26,-1.2097
2003-06-27,1.7492999999999999
2003-06-30,1.4327
2003-07-01,1.4123999999999999
2003-07-02,2.6184
2003-07-03,-1.4658
2003-07-07,0.4408
2003-07-08,3.1816
2003-07-09,0.7974
2003-07-10,2.8481
2003-07-11,-0.7692
2003-07-14,-0.5168
2003-07-15,-4.1506
2003-07-16,-1.0894
2003-07-17,-2.8493
2003-07-18,-1.8613
2003-07-21,1.2069
2003-07-22,2.7257
2003-07-23,3.9248
2003-07-24,-0.4255
2003-07-25,0.1549
2003-07-28,-0.2613
2003-07-29,-0.8021
2003-07-30,0.221
2003-07-31,0.2636
2003-08-01,-0.4828
2003-08-04,0.3774
2003-08-05,-0.2685
2003-08-06,0.6462
2003-08-07,3.4778000000000002
2003-08-08,0.4137
2003-08-11,-0.103
2003-08-12,0.1546
2003-08-13,1.1323
2003-08-14,-0.7634
2003-08-15,1.2308
2003-08-18,-1.7730000000000001
2003-08-19,1.8051
2003-08-20,-0.3546
2003-08-21,1.4235
2003-08-22,0.1003
2003-08-25,-3.355
2003-08-26,-0.2591
2003-08-27,1.2987
2003-08-28,1.5897000000000001
2003-08-29,-1.1106
2003-09-02,-0.8167
2003-09-03,-2.2131
2003-09-04,0.8474
2003-09-05,3.074
2003-09-08,10.8861
2003-09-09,2.2831
2003-09-10,-2.3616
2003-09-11,2.8302
2003-09-12,0.4891
2003-09-15,-3.3628
2003-09-16,5.3114
2003-09-17,-0.3913
2003-09-18,-5.0633
2003-09-19,2.2989
2003-09-22,1.1236
2003-09-23,-2.6667
2003-09-24,3.0137
2003-09-25,-3.3688000000000002
2003-09-26,-7.3394
2003-09-29,5.198
2003-09-30,1.6
2003-10-01,3.5201000000000002
2003-10-02,1.2974999999999999
2003-10-03,1.811
2003-10-06,4.9892
2003-10-07,5.0413
2003-10-08,-0.236
2003-10-09,0.3943
2003-10-10,-0.0393
2003-10-13,5.776
2003-10-14,-0.5201
2003-10-15,-2.6512000000000002
2003-10-16,5.2167
2003-10-17,-7.1455
2003-10-20,-3.4158
2003-10-21,-1.626
2003-10-22,-1.6942
2003-10-23,-1.0088
2003-10-24,-2.3355
2003-10-27,-4.5652
2003-10-28,12.9841
