ticker,T US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.5897
2000-01-04,-5.8511
2000-01-05,1.5537
2000-01-06,-2.1001
2000-01-07,0.8571
2000-01-10,1.4163999999999999
2000-01-11,-1.3966
2000-01-12,-5.2408
2000-01-13,-2.3916
2000-01-14,2.9096
2000-01-18,-2.0833
2000-01-19,-1.3678
2000-01-20,1.0786
2000-01-21,4.878
2000-01-24,-2.3256
2000-01-25,-4.7619
2000-01-26,0.0
2000-01-27,-2.5
2000-01-28,0.641
2000-01-31,9.2357
2000-02-01,-1.1662
2000-02-02,0.295
2000-02-03,-1.1764999999999999
2000-02-04,0.0
2000-02-07,-0.2976
2000-02-08,0.4478
2000-02-09,1.3373
2000-02-10,-1.173
2000-02-11,-4.0059
2000-02-14,1.0819
2000-02-15,-0.4587
2000-02-16,-3.9939
2000-02-17,2.4
2000-02-18,-4.375
2000-02-22,-4.5752
2000-02-23,-2.0548
2000-02-24,-0.6993
2000-02-25,-0.1761
2000-02-28,4.4092
2000-02-29,2.027
2000-03-01,11.2583
2000-03-02,7.7381
2000-03-03,0.6906
2000-03-06,-4.8011
2000-03-07,-3.4582
2000-03-08,-0.597
2000-03-09,-0.1502
2000-03-10,1.0526
2000-03-13,4.0179
2000-03-14,-3.5765000000000002
2000-03-15,0.8902
2000-03-16,6.1765
2000-03-17,1.385
2000-03-20,-2.8689
2000-03-21,1.8284
2000-03-22,-4.2818
2000-03-23,0.5772
2000-03-24,-1.2912
2000-03-27,0.436
2000-03-28,-1.5918999999999999
2000-03-29,-0.5882
2000-03-30,-1.4793
2000-03-31,1.2012
2000-04-03,6.2315
2000-04-04,2.7933
2000-04-05,0.6793
2000-04-06,2.5722
2000-04-07,-1.8519
2000-04-10,-0.2695
2000-04-11,2.1622
2000-04-12,-0.5291
2000-04-13,0.0
2000-04-14,-9.3085
2000-04-17,-1.7595
2000-04-18,-0.8955
2000-04-19,1.0542
2000-04-20,-1.7884
2000-04-24,2.5797
2000-04-25,6.3609
2000-04-26,-2.0862
2000-04-27,-1.7045
2000-04-28,1.3006
2000-05-01,1.8545
2000-05-02,-5.042
2000-05-03,-1.0324
2000-05-04,-2.0864
2000-05-05,4.7184
2000-05-08,-0.2907
2000-05-09,-1.312
2000-05-10,6.647
2000-05-11,0.9783
2000-05-12,-1.6032
2000-05-15,2.5963000000000003
2000-05-16,-0.6793
2000-05-17,-0.8208
2000-05-18,-2.3448
2000-05-19,-3.5311
2000-05-22,-0.4392
