ticker,GBCHF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-08,65.4846
2018-08-09,-34.2857
2018-08-10,-2.1739
2018-08-13,-8.8889
2018-08-14,-22.439
2018-08-15,19.4969
2018-08-16,5.2632
2018-08-17,17.5
2018-08-20,-10.6383
2018-08-21,-4.7619
2018-08-22,5.0
2018-08-23,-15.4762
2018-08-24,18.3099
2018-08-27,-9.5238
2018-08-28,5.2632
2018-08-29,-10.0
2018-08-30,-2.5278
2018-08-31,5.4431
2018-09-04,-1.3514
2018-09-05,-4.1096
2018-09-06,-5.7143
2018-09-07,-18.1818
2018-09-10,5.7036999999999995
2018-09-11,-5.3959
2018-09-12,5.5556
2018-09-13,-0.3509
2018-09-14,-1.4085
2018-09-17,-3.5714
2018-09-18,-16.5926
2018-09-19,17.6732
2018-09-20,0.0
2018-09-21,0.0
2018-09-24,1.8868
2018-09-25,-1.8519
2018-09-26,0.0
2018-09-27,0.0
2018-09-28,-3.7736
2018-10-01,-0.1569
2018-10-02,-9.6622
2018-10-03,3.9130000000000003
2018-10-04,-18.41
2018-10-05,2.5641
2018-10-08,20.0
2018-10-09,-4.1667
2018-10-10,-16.6522
2018-10-11,3.2864
2018-10-12,-1.5152
2018-10-15,17.9487
2018-10-16,-12.7174
2018-10-17,-5.3549
2018-10-18,0.0
2018-10-19,15.7895
2018-10-22,-15.9091
2018-10-23,-5.9459
2018-10-24,2.8736
2018-10-25,0.5587
2018-10-26,0.5556
2018-10-29,-2.2099
2018-10-30,-2.5423999999999998
2018-10-31,2.6087
2018-11-01,-1.5537
2018-11-02,-0.7174
2018-11-05,1.7341
2018-11-06,2.8409
2018-11-07,-0.5525
2018-11-08,-21.6667
2018-11-09,16.3121
2018-11-12,4.3293
2018-11-13,2.2794
2018-11-14,-4.0
2018-11-15,-2.3810000000000002
2018-11-16,0.0
2018-11-19,-0.6098
2018-11-20,2.454
2018-11-21,-3.5928
2018-11-23,0.6211
2018-11-26,-8.642
2018-11-27,-13.5135
2018-11-28,-9.375
2018-11-29,7.7586
2018-11-30,-4.8
2018-12-03,-32.7731
2018-12-04,0.0
2018-12-06,22.5
2018-12-07,-8.1633
2018-12-10,0.0
2018-12-11,-4.4444
2018-12-12,-1.3023
2018-12-13,-7.1395
2018-12-14,2.7658
2018-12-17,9.8765
2018-12-18,10.1124
2018-12-19,-8.3163
2018-12-20,22.4263
2018-12-21,-1.8182
2018-12-24,-21.4352
2018-12-26,-3.3589
2018-12-27,1.2195
