ticker,CMRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-11,34.2143
2013-04-12,-3.2996
2013-04-15,1.3759000000000001
2013-04-16,4.506
2013-04-17,-2.5974
2013-04-18,0.64
2013-04-19,-0.265
2013-04-22,0.5313
2013-04-23,2.167
2013-04-24,0.1035
2013-04-25,-1.292
2013-04-26,-1.0471
2013-04-29,0.6349
2013-04-30,4.7844
2013-05-01,2.6090999999999998
2013-05-02,0.1956
2013-05-03,2.245
2013-05-06,-0.1432
2013-05-07,-1.912
2013-05-08,-2.8265000000000002
2013-05-09,-1.7050999999999998
2013-05-10,2.2959
2013-05-13,2.0948
2013-05-14,1.1236
2013-05-15,-2.1739
2013-05-16,-0.8889
2013-05-17,-1.4449
2013-05-20,1.1628
2013-05-21,0.5497
2013-05-22,1.3418999999999999
2013-05-23,1.7165
2013-05-24,5.1591
2013-05-28,0.4127
2013-05-29,0.274
2013-05-30,0.5009
2013-05-31,-2.5827
2013-06-03,2.2791
2013-06-04,-0.091
2013-06-05,-1.0014
2013-06-06,1.4713
2013-06-07,0.7703
2013-06-10,2.9676
2013-06-11,3.5808
2013-06-12,0.7589
2013-06-13,-3.9331
2013-06-14,-5.0958
2013-06-17,-5.4612
2013-06-18,3.6408
2013-06-19,7.1194
2013-06-20,-2.4049
2013-06-21,1.5681
2013-06-24,-2.7349
2013-06-25,0.5442
2013-06-26,4.8713999999999995
2013-06-27,2.8387000000000002
2013-06-28,1.3801999999999999
2013-07-01,0.0
2013-07-02,-0.0413
2013-07-03,1.1143
2013-07-05,-0.7347
2013-07-08,0.2056
2013-07-09,0.4924
2013-07-10,-0.5717
2013-07-11,-0.9035
2013-07-12,-0.4973
2013-07-15,1.7909000000000002
2013-07-16,-0.0409
2013-07-17,0.3275
2013-07-18,-1.02
2013-07-19,1.1748
2013-07-22,1.2426
2013-07-23,-0.4024
2013-07-24,0.7273
2013-07-25,0.4813
2013-07-26,0.1996
2013-07-29,-3.3068
2013-07-30,-1.0301
2013-07-31,-5.3289
2013-08-01,-3.0783
2013-08-02,-3.4483
2013-08-05,-3.0075
2013-08-06,-1.1143
2013-08-07,-5.6835
2013-08-08,-0.3117
2013-08-09,-5.9406
2013-08-12,3.0471
2013-08-13,-1.2903
2013-08-14,-4.3573
2013-08-15,-0.6264
2013-08-16,1.3181
2013-08-19,-0.9615
2013-08-20,1.542
2013-08-21,1.9123
2013-08-22,-0.5519
2013-08-23,-1.8313000000000001
2013-08-26,-2.7699
2013-08-27,-2.5
