ticker,NURO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-22,0.625
2004-07-23,0.0
2004-07-26,0.8696
2004-07-27,0.1232
2004-07-28,-8.9791
2004-07-29,6.7568
2004-07-30,1.2658
2004-08-02,0.0
2004-08-03,-2.75
2004-08-04,0.3856
2004-08-05,-0.7682
2004-08-06,0.3742
2004-08-09,0.3985
2004-08-10,0.5122
2004-08-11,-1.2739
2004-08-12,-4.6452
2004-08-13,5.2639
2004-08-16,2.841
2004-08-17,0.625
2004-08-18,0.0
2004-08-19,0.1242
2004-08-20,-0.7444
2004-08-23,0.625
2004-08-24,-1.2422
2004-08-25,1.2579
2004-08-26,-0.6211
2004-08-27,0.0
2004-08-30,0.625
2004-08-31,0.3727
2004-09-01,0.0
2004-09-02,-0.6188
2004-09-03,0.8717
2004-09-07,-0.0123
2004-09-08,0.6297
2004-09-09,3.0675
2004-09-10,2.3810000000000002
2004-09-13,-0.814
2004-09-14,0.0
2004-09-15,0.0
2004-09-16,-0.2345
2004-09-17,4.5828
2004-09-20,2.5843
2004-09-21,11.391
2004-09-22,-1.6716
2004-09-23,10.5
2004-09-24,-0.543
2004-09-27,-3.2757
2004-09-28,-3.5747999999999998
2004-09-29,-5.3659
2004-09-30,3.0928
2004-10-01,1.4
2004-10-04,2.7613
2004-10-05,-4.2226
2004-10-06,1.7034
2004-10-07,-1.8719000000000001
2004-10-08,-0.6024
2004-10-11,4.7475000000000005
2004-10-12,-0.675
2004-10-13,-1.9417
2004-10-14,-4.9505
2004-10-15,2.0833
2004-10-18,-0.2041
2004-10-19,0.092
2004-10-20,-2.9523
2004-10-21,2.1053
2004-10-22,0.3093
2004-10-25,1.2333
2004-10-26,-4.0609
2004-10-27,1.5873
2004-10-28,1.0417
2004-10-29,-1.0309
2004-11-01,-6.25
2004-11-02,2.4444
2004-11-03,3.0369
2004-11-04,0.0
2004-11-05,3.4737
2004-11-08,-0.3052
2004-11-09,-0.7143
2004-11-10,-3.186
2004-11-11,-3.3970000000000002
2004-11-12,2.1978
2004-11-15,-3.2258
2004-11-16,4.4444
2004-11-17,-4.0426
2004-11-18,0.6652
2004-11-19,-1.9824000000000002
2004-11-22,0.0
2004-11-23,-2.6966
2004-11-24,-1.8476
2004-11-26,0.2353
2004-11-29,-3.7559
2004-11-30,2.9268
2004-12-01,-2.2393
2004-12-02,3.6238
2004-12-03,-2.3392
2004-12-06,-0.5988
2004-12-07,4.5783000000000005
2004-12-08,7.6037
2004-12-09,-1.4989
