ticker,BCRHF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-06,-5.5
2013-11-07,-0.7937
2013-11-08,1.9733
2013-11-11,-0.3661
2013-11-12,0.5243
2013-11-13,-0.2552
2013-11-14,-0.7382
2013-11-15,0.1055
2013-11-18,-0.7376
2013-11-19,-1.7516
2013-11-20,-2.215
2013-11-21,-0.2762
2013-11-22,-0.0554
2013-11-25,-0.388
2013-11-26,1.6138
2013-11-27,3.8335
2013-11-29,0.4747
2013-12-02,-4.5144
2013-12-03,-0.8796
2013-12-04,3.6051
2013-12-05,-0.2141
2013-12-06,-1.2876
2013-12-09,1.3043
2013-12-10,-3.1116
2013-12-11,0.2215
2013-12-12,0.4972
2013-12-13,1.3194
2013-12-16,-1.8991
2013-12-17,1.1062
2013-12-18,-0.1094
2013-12-19,-1.0953
2013-12-20,0.1107
2013-12-23,2.3783
2013-12-24,-0.8644
2013-12-26,-0.4905
2013-12-27,0.2191
2013-12-30,0.1639
2013-12-31,0.2182
2014-01-02,-1.3065
2014-01-03,2.0408
2014-01-06,0.3243
2014-01-07,-1.5625
2014-01-08,-2.4631
2014-01-09,0.0561
2014-01-10,-0.7291
2014-01-13,-0.0565
2014-01-14,0.7349
2014-01-15,-0.954
2014-01-16,-0.3966
2014-01-17,-2.9579
2014-01-21,2.6964
2014-01-22,-0.6279
2014-01-23,1.0339
2014-01-24,-0.9665
2014-01-27,-1.837
2014-01-28,-0.0585
2014-01-29,-1.0532
2014-01-30,1.7149999999999999
2014-01-31,-1.4535
2014-02-03,-2.3599
2014-02-04,-0.2417
2014-02-05,0.0606
2014-02-06,1.2711999999999999
2014-02-07,3.168
2014-02-10,0.5794
2014-02-11,0.2304
2014-02-12,-0.6322
2014-02-13,0.4049
2014-02-14,-2.3041
2014-02-18,-1.2382
2014-02-19,-0.1791
2014-02-20,0.7775
2014-02-21,0.1187
2014-02-24,-0.2964
2014-02-25,0.0
2014-02-26,-0.1784
2014-02-27,0.2978
2014-02-28,1.2469999999999999
2014-03-03,0.0587
2014-03-04,0.1172
2014-03-05,-0.1756
2014-03-06,0.1173
2014-03-07,0.4687
2014-03-10,-0.6997
2014-03-11,0.1762
2014-03-12,1.6999
2014-03-13,0.0
2014-03-14,1.7290999999999999
2014-03-17,1.6431
2014-03-18,2.1739
2014-03-19,-0.2182
2014-03-20,0.0
2014-03-21,-6.1236
2014-03-24,0.0582
2014-03-25,2.0955
2014-03-26,-2.4515000000000002
2014-03-27,-1.3442
2014-03-28,1.6588
