ticker,SPRO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-02,-17.8571
2017-11-03,0.5217
2017-11-06,3.8062
2017-11-07,3.3333
2017-11-08,1.6935
2017-11-09,5.0753
2017-11-10,6.7925
2017-11-13,4.2403
2017-11-14,-3.1186
2017-11-15,-6.508
2017-11-16,0.524
2017-11-17,7.8928
2017-11-20,-12.2153
2017-11-21,5.3459
2017-11-22,2.2388
2017-11-24,1.1679
2017-11-27,1.5152
2017-11-28,-3.1628
2017-11-29,-6.2018
2017-11-30,-6.4945
2017-12-01,1.5899999999999999
2017-12-04,1.1532
2017-12-05,-8.2248
2017-12-06,1.5084
2017-12-07,-8.1294
2017-12-08,-0.0951
2017-12-11,2.7619
2017-12-12,1.5755
2017-12-13,6.1131
2017-12-14,-1.7197
2017-12-15,-5.3368
2017-12-18,-3.6044
2017-12-19,2.5887000000000002
2017-12-20,7.1028
2017-12-21,5.4101
2017-12-22,-1.6556
2017-12-26,-3.9562
2017-12-27,5.1709
2017-12-28,-3.25
2017-12-29,1.2059
2018-01-02,3.3191
2018-01-03,0.9885
2018-01-04,-0.9788
2018-01-05,-4.5305
2018-01-08,0.0
2018-01-09,-1.5531000000000001
2018-01-10,5.0833
2018-01-11,3.0025
2018-01-12,-0.8097
2018-01-16,0.0
2018-01-17,-1.2245
2018-01-18,-4.2149
2018-01-19,4.0552
2018-01-22,1.1609
2018-01-23,0.8197
2018-01-24,-2.1951
2018-01-25,0.5819
2018-01-26,1.0744
2018-01-29,0.4906
2018-01-30,0.895
2018-01-31,-2.4194
2018-02-01,3.719
2018-02-02,-3.6653000000000002
2018-02-05,-2.4814
2018-02-06,1.6964000000000001
2018-02-07,-1.5013
2018-02-08,1.3548
2018-02-09,-0.7519
2018-02-12,-2.6936
2018-02-13,-3.1142
2018-02-14,-10.7143
2018-02-15,-0.4
2018-02-16,0.8032
2018-02-20,-0.0996
2018-02-21,-0.2991
2018-02-22,-0.2
2018-02-23,5.3106
2018-02-26,-0.1903
2018-02-27,7.3403
2018-02-28,-6.0391
2018-03-01,1.5123
2018-03-02,7.5419
2018-03-05,1.9048
2018-03-06,0.3398
2018-03-07,-2.8789
2018-03-08,2.4412
2018-03-09,2.1277
2018-03-12,4.3333
2018-03-13,1.3578000000000001
2018-03-14,7.5649999999999995
2018-03-15,4.0293
2018-03-16,2.8872999999999998
2018-03-19,-0.7529
2018-03-20,-1.8620999999999999
2018-03-21,0.4216
2018-03-22,0.4199
2018-03-23,-4.1812
