ticker,VHUB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-12-28,1900.0
2014-01-17,100.0
2014-02-18,12.5
2014-02-19,0.0
2014-02-21,12.0
2014-02-25,87.5
2014-03-05,-57.1429
2014-03-06,211.1111
2014-03-07,-24.2857
2014-03-10,-5.6604
2014-03-11,0.0
2014-03-17,-20.0
2014-03-18,0.0
2014-03-19,-6.25
2014-03-20,-6.2833
2014-03-21,-0.409
2014-03-24,7.1429
2014-03-25,-16.0
2014-03-26,1.5873
2014-03-27,1.4062999999999999
2014-03-28,0.1541
2014-03-31,12.3077
2014-04-01,8.2192
2014-04-02,-3.7975
2014-04-03,3.9474
2014-04-04,1.2658
2014-04-07,0.0
2014-04-08,1.25
2014-04-09,1.8519
2014-04-10,-39.4318
2014-04-11,4.065
2014-04-14,9.6154
2014-04-15,3.5088
2014-04-16,-22.0339
2014-04-17,-12.8261
2014-04-21,-20.1995
2014-04-22,-4.6875
2014-04-23,16.3934
2014-04-24,9.8592
2014-04-25,14.1026
2014-04-28,12.1348
2014-04-29,10.2204
2014-04-30,1.4545
2014-05-01,12.724
2014-05-02,6.5183
2014-05-05,-43.2836
2014-05-06,57.8947
2014-05-07,-2.3542
2014-05-08,-6.9767
2014-05-09,2.844
2014-05-12,-1.8733
2014-05-13,-10.0
2014-05-14,-11.1111
2014-05-15,13.6364
2014-05-16,2.2
2014-05-19,-3.1311
2014-05-20,-1.0101
2014-05-21,6.9388
2014-05-22,4.9618
2014-05-23,1.8182
2014-05-27,0.0
2014-05-28,8.0357
2014-05-29,4.9587
2014-05-30,-11.811
2014-06-02,-18.2143
2014-06-03,0.4367
2014-06-04,6.5217
2014-06-05,-2.0408
2014-06-06,-8.3333
2014-06-09,-6.3636
2014-06-10,-13.835
2014-06-11,-11.9718
2014-06-12,-7.2
2014-06-13,-4.3103
2014-06-16,-11.7117
2014-06-17,-8.5714
2014-06-18,7.1429
2014-06-19,18.75
2014-06-20,-12.2807
2014-06-23,-4.4
2014-06-24,-3.7657
2014-06-25,-4.3478
2014-06-26,-9.0909
2014-06-27,-15.5937
2014-06-30,-6.405
2014-07-01,-20.8861
2014-07-02,12.0
2014-07-03,-7.1429
2014-07-07,38.4615
2014-07-08,0.0
2014-07-09,-16.6667
2014-07-10,-16.6667
2014-07-11,4.0
2014-07-14,-3.7019
2014-07-15,-4.1438
2014-07-16,4.1667
2014-07-17,0.0
2014-07-18,-7.6
2014-07-21,-4.7619
2014-07-22,-9.0909
2014-07-23,10.0
