ticker,DDLX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-17,185.7143
2018-07-31,-0.3333
2018-09-11,-31.4381
2018-09-12,3.9024
2018-09-14,0.939
2018-09-19,4.6512
2018-11-14,-0.8889
2019-12-10,-12.5561
2020-02-25,-23.0769
