ticker,OTIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-08-13,7.1875
2014-08-14,-2.5073
2014-08-15,-3.11
2014-08-18,-1.1728
2014-08-19,-1.0618
2014-08-20,0.947
2014-08-21,1.9386999999999999
2014-08-22,5.5828
2014-08-25,-1.2202
2014-08-26,2.5294
2014-08-27,5.1635
2014-08-28,7.856
2014-08-29,0.7587
2014-09-02,-1.1044
2014-09-03,0.0508
2014-09-04,-3.3486000000000002
2014-09-05,-1.3648
2014-09-08,3.1932
2014-09-09,-0.722
2014-09-10,1.2987
2014-09-11,-0.5128
2014-09-12,-0.1031
2014-09-15,-0.516
2014-09-16,4.7718
2014-09-17,-0.5446
2014-09-18,4.1314
2014-09-19,12.1415
2014-09-22,-3.9642
2014-09-23,0.1332
2014-09-24,12.1011
2014-09-25,-1.3839000000000001
2014-09-26,6.5758
2014-09-29,-8.5403
2014-09-30,-1.2752
2014-10-01,-6.75
2014-10-02,0.4468
2014-10-03,6.7171
2014-10-06,-7.3781
2014-10-07,-5.4005
2014-10-08,0.7136
2014-10-09,-0.1889
2014-10-10,2.7922000000000002
2014-10-13,2.9466
2014-10-14,1.1181
2014-10-15,3.2287
2014-10-16,3.3419
2014-10-17,-7.0066
2014-10-20,1.3820999999999999
2014-10-21,4.2656
2014-10-22,-0.2531
2014-10-23,4.4397
2014-10-24,4.9798
2014-10-27,-2.2754
2014-10-28,2.6046
2014-10-29,-0.3077
2014-10-30,-1.1574
2014-10-31,2.8493
2014-11-03,-1.8216
2014-11-04,-7.5377
2014-11-05,-2.0485
2014-11-06,3.073
2014-11-07,-0.2484
2014-11-10,0.2906
2014-11-11,-1.5314999999999999
2014-11-12,-0.4624
2014-11-13,0.0422
2014-11-14,-1.393
2014-11-17,-5.7363
2014-11-18,4.4051
2014-11-19,-4.7412
2014-11-20,2.1005
2014-11-21,4.3828
2014-11-24,2.7420999999999998
2014-11-25,1.3344
2014-11-26,0.0823
2014-11-28,-1.2747
2014-12-01,5.6643
2014-12-02,14.2294
2014-12-03,0.0345
2014-12-04,-0.9659
2014-12-05,-0.8011
2014-12-08,-3.125
2014-12-09,16.9264
2014-12-10,9.6714
2014-12-11,-3.5613
2014-12-12,7.6202
2014-12-15,0.1362
2014-12-16,8.7843
2014-12-17,-4.325
2014-12-18,0.6533
2014-12-19,-5.27
2014-12-22,-13.5928
2014-12-23,0.2537
2014-12-24,2.0563
2014-12-26,4.4947
2014-12-29,-1.8096
2014-12-30,-0.9668
2014-12-31,1.6779
