ticker,BEEI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-07-22,-0.9804
2008-07-23,-1.9802
2008-07-25,0.5051
2008-07-29,0.5025
2008-07-30,0.0
2008-07-31,0.0
2008-08-01,0.0
2008-08-04,0.0
2008-08-05,0.0
2008-08-06,-0.3
2008-08-12,0.0502
2008-08-13,0.2506
2008-08-18,0.0
2008-08-21,0.0
2008-08-28,0.0
2008-09-02,8.0
2008-09-03,1.8519
2008-09-04,16.3636
2008-09-05,-6.25
2008-09-08,-7.5
2008-09-09,-9.009
2008-09-10,3.9604
2008-09-11,-0.9524
2008-09-12,-21.1538
2008-09-15,-1.2195
2008-09-16,-6.1728
2008-09-17,3.9474
2008-09-18,-11.3924
2008-09-19,0.0
2008-09-22,4.2857
2008-09-23,0.0
2008-09-24,6.8493
2008-09-25,2.5641
2008-09-26,12.5
2008-09-29,-11.1111
2008-09-30,-6.25
2008-10-01,-6.6667
2008-10-02,0.0
2008-10-03,-14.2857
2008-10-06,8.3333
2008-10-07,-7.6923
2008-10-08,-6.6667
2008-10-09,-19.6429
2008-10-10,15.5556
2008-10-13,-7.6923
2008-10-14,0.0
2008-10-15,-12.5
2008-10-16,-8.3333
2008-10-17,16.8831
2008-10-20,-6.6667
2008-10-21,16.6667
2008-10-22,-2.0408
2008-10-23,0.0
2008-10-24,-16.6667
2008-10-27,-5.0
2008-10-28,2.6316
2008-10-29,2.5641
2008-10-30,-2.5
2008-10-31,0.0
2008-11-03,-7.6923
2008-11-04,0.0
2008-11-05,2.7778
2008-11-06,-2.7027
2008-11-07,0.0
2008-11-10,-2.7778
2008-11-11,-28.5714
2008-11-12,8.0
2008-11-13,-3.7037
2008-11-14,-3.8462
2008-11-17,4.0
2008-11-18,15.3846
2008-11-19,-3.3333
2008-11-20,-27.5862
2008-11-21,-38.0952
2008-11-24,53.8462
2008-11-25,10.0
2008-11-26,0.0
2008-11-28,-27.2727
2008-12-01,6.25
2008-12-02,17.0588
2008-12-03,-19.0955
2008-12-04,11.8012
2008-12-05,-16.6667
2008-12-08,0.0
2008-12-09,-6.6667
2008-12-10,28.5714
2008-12-11,0.0
2008-12-12,-5.5556
2008-12-15,0.0
2008-12-16,5.8824
2008-12-17,-5.5556
2008-12-18,5.8824
2008-12-19,0.0
2008-12-22,11.1111
2008-12-23,-13.0
2008-12-24,-2.2989
2008-12-26,-17.647100000000002
2008-12-29,7.1429
2008-12-30,0.0
2008-12-31,3.3333
2009-01-02,-3.2258
2009-01-05,13.3333
