ticker,LINC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-06-23,0.85
2005-06-24,-0.8428
2005-06-27,0.0
2005-06-28,0.0
2005-06-29,0.3
2005-06-30,0.9472
2005-07-01,-0.4938
2005-07-05,-0.3474
2005-07-06,-0.1494
2005-07-07,-0.2494
2005-07-08,0.3
2005-07-11,-0.0499
2005-07-12,0.0
2005-07-13,-0.0499
2005-07-14,3.0838
2005-07-15,-0.1839
2005-07-18,-2.4733
2005-07-19,1.6907
2005-07-20,-0.978
2005-07-21,-0.5432
2005-07-22,-0.5958
2005-07-25,-0.8991
2005-07-26,-1.3105
2005-07-27,-1.379
2005-07-28,1.2429000000000001
2005-07-29,1.5345
2005-08-01,-24.3325
2005-08-02,-4.5273
2005-08-03,-1.046
2005-08-04,0.4228
2005-08-05,3.7193
2005-08-08,3.5183
2005-08-09,-3.2026
2005-08-10,-1.8231000000000002
2005-08-11,-0.2751
2005-08-12,0.3448
2005-08-15,1.9931
2005-08-16,0.2687
2005-08-17,-0.7384
2005-08-18,0.0677
2005-08-19,-0.203
2005-08-22,-1.0169
2005-08-23,2.7397
2005-08-24,-0.5333
2005-08-25,1.7426
2005-08-26,-3.1621
2005-08-29,0.4082
2005-08-30,-0.0678
2005-08-31,-0.8814
2005-09-01,1.9152
2005-09-02,0.4698
2005-09-06,0.2004
2005-09-07,-1.2
2005-09-08,0.9447
2005-09-09,0.0
2005-09-12,0.4011
2005-09-13,0.1332
2005-09-14,-1.5293
2005-09-15,-1.418
2005-09-16,-2.6712
2005-09-19,-3.2372
2005-09-20,-0.6545
2005-09-21,-3.7335000000000003
2005-09-22,-1.1407
2005-09-23,4.8462
2005-09-26,-5.3558
2005-09-27,-1.3178
2005-09-28,-0.7855
2005-09-29,0.3959
2005-09-30,-7.0189
2005-10-03,4.3257
2005-10-04,-0.3252
2005-10-05,0.0816
2005-10-06,0.489
2005-10-07,-0.8921
2005-10-10,0.7365
2005-10-11,-0.0812
2005-10-12,-0.8943
2005-10-13,1.0664
2005-10-14,1.5422
2005-10-17,-0.7994
2005-10-18,-0.5641
2005-10-19,-0.3241
2005-10-20,-1.2195
2005-10-21,1.7284000000000002
2005-10-24,1.1327
2005-10-25,0.24
2005-10-26,-1.5164
2005-10-27,2.9984
2005-10-28,0.9441
2005-10-31,4.5986
2005-11-01,-0.4471
2005-11-02,3.5928
2005-11-03,-0.4335
2005-11-04,4.2816
2005-11-07,-1.3918
2005-11-08,-2.0219
2005-11-09,0.8391
