ticker,HRI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-06-21,-5.7971
2016-06-22,0.0
2016-06-23,3.0769
2016-06-24,-3.7313
2016-06-27,-7.7519
2016-06-28,8.8739
2016-06-29,0.3396
2016-06-30,5.8462
2016-07-01,-3.9244
2016-07-05,-6.0514
2016-07-06,-3.0918
2016-07-07,-0.8308
2016-07-08,6.8365
2016-07-11,-0.8469
2016-07-12,1.8981
2016-07-13,1.4902
2016-07-14,0.3365
2016-07-15,2.0427
2016-07-18,-1.6433
2016-07-19,-2.1264
2016-07-20,2.3277
2016-07-21,7.8253
2016-07-22,-0.872
2016-07-25,-1.8445
2016-07-26,1.2142
2016-07-27,0.2285
2016-07-28,0.9119
2016-07-29,-0.1694
2016-08-01,-0.0283
2016-08-02,-2.2637
2016-08-03,1.5924
2016-08-04,0.8834
2016-08-05,4.9435
2016-08-08,-1.5343
2016-08-09,-9.8414
2016-08-10,0.0
2016-08-11,-0.0606
2016-08-12,-1.0012
2016-08-15,0.5516
2016-08-16,0.6096
2016-08-17,-0.4847
2016-08-18,1.035
2016-08-19,0.0904
2016-08-22,-0.0903
2016-08-23,2.0789
2016-08-24,-2.5974
2016-08-25,-0.697
2016-08-26,0.1526
2016-08-29,-0.3961
2016-08-30,-0.4283
2016-08-31,3.871
2016-09-01,1.0648
2016-09-02,1.1121
2016-09-06,0.8104
2016-09-07,2.5553
2016-09-08,0.7839
2016-09-09,-4.4722
2016-09-12,0.1745
2016-09-13,-3.2511
2016-09-14,1.2901
2016-09-15,1.2737
2016-09-16,-0.5557
2016-09-19,-1.3529
2016-09-20,-2.743
2016-09-21,0.889
2016-09-22,-0.3646
2016-09-23,1.7383
2016-09-26,-1.6487
2016-09-27,-2.2249
2016-09-28,2.8055
2016-09-29,-0.849
2016-09-30,3.0581
2016-10-03,-0.089
2016-10-04,0.6831
2016-10-05,2.1829
2016-10-06,0.0866
2016-10-07,-3.0574
2016-10-10,0.7438
2016-10-11,-3.3373
2016-10-12,-0.5805
2016-10-13,-2.7351
2016-10-14,-4.6445
2016-10-17,0.0994
2016-10-18,-1.0924
2016-10-19,-1.6064
2016-10-20,0.5442
2016-10-21,-0.9134
2016-10-24,0.3073
2016-10-25,0.0
2016-10-26,2.9272
2016-10-27,-2.0172
2016-10-28,-2.2275
2016-10-31,3.8661
2016-11-01,-3.2901
2016-11-02,-0.378
2016-11-03,2.5871
2016-11-04,2.69
2016-11-07,2.9142
2016-11-08,-1.9407999999999999
2016-11-09,15.6716
