ticker,BIQIF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-07-20,-10.8333
2010-07-21,-20.5607
2010-07-22,-0.2353
2010-07-23,-5.1887
2010-07-26,-0.995
2010-07-27,1.5074999999999998
2010-07-28,1.2376
2010-07-29,-1.467
2010-07-30,-0.9926
2010-08-02,1.0025
2010-08-03,-1.0391
2010-08-04,0.2978
2010-08-05,-7.75
2010-08-06,5.6402
2010-08-09,0.0481
2010-08-10,2.5641
2010-08-11,-4.25
2010-08-12,-3.3943
2010-08-13,18.6486
2010-08-16,-5.4413
2010-08-17,0.4547
2010-08-18,2.6379
2010-08-19,-6.5421
2010-08-20,-2.0
2010-08-23,-1.7856999999999998
2010-08-24,0.5195
2010-08-25,-4.3928
2010-08-26,1.6216
2010-08-27,3.7234
2010-08-30,-3.8494
2010-08-31,2.6701
2010-09-01,-1.2987
2010-09-02,0.5263
2010-09-03,-1.8325
2010-09-07,1.6
2010-09-08,-0.5249
2010-09-09,-1.847
2010-09-10,-0.5376
2010-09-13,9.7297
2010-09-14,-1.4778
2010-09-15,0.0
2010-09-16,-5.0
2010-09-17,0.0
2010-09-20,4.4737
2010-09-21,-4.7827
2010-09-22,3.1712
2010-09-23,-2.5641
2010-09-24,-1.0526
2010-09-27,-2.6596
2010-09-28,0.2732
2010-09-29,5.1771
2010-09-30,2.3316
2010-10-01,10.3797
2010-10-04,-7.1101
2010-10-05,6.4198
2010-10-06,-1.1601
2010-10-07,0.939
2010-10-08,11.6279
2010-10-11,14.1667
2010-10-12,-0.9124
2010-10-13,-3.1308
2010-10-14,11.7871
2010-10-15,1.3605
2010-10-18,-0.1678
2010-10-19,-10.5882
2010-10-20,1.8797000000000001
2010-10-21,-1.476
2010-10-22,2.0599
2010-10-25,4.9541
2010-10-26,3.2343
2010-10-27,-1.9475
2010-10-28,1.209
2010-10-29,-2.901
2010-11-01,6.3269
2010-11-02,14.876
2010-11-03,-0.7194
2010-11-04,1.8841
2010-11-05,9.9573
2010-11-08,3.4929
2010-11-09,-9.6102
2010-11-10,-0.5696
2010-11-11,-1.669
2010-11-12,0.7072
2010-11-15,0.1404
2010-11-16,-10.5189
2010-11-17,-2.8213
2010-11-18,-3.2258
2010-11-19,-3.6667
2010-11-22,4.4983
2010-11-23,1.1589
2010-11-24,0.0
2010-11-26,-0.1637
2010-11-29,-8.3607
2010-11-30,-5.9033999999999995
2010-12-01,-2.4715
2010-12-02,-6.2378
2010-12-03,10.5756
2010-12-06,6.4172
2010-12-07,-4.417
