ticker,CBNK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-26,2.4
2018-09-27,0.2344
2018-09-28,-0.8574
2018-10-01,0.5503
2018-10-02,-0.3127
2018-10-03,0.7843
2018-10-04,-0.6226
2018-10-05,-0.3132
2018-10-08,1.3354
2018-10-09,0.0
2018-10-10,-0.3876
2018-10-11,-0.3891
2018-10-12,0.0
2018-10-15,0.0
2018-10-16,0.2344
2018-10-17,0.0
2018-10-18,-0.6235
2018-10-19,-1.098
2018-10-22,0.0
2018-10-23,-0.1586
2018-10-24,-4.9643
2018-10-25,-0.1254
2018-10-26,-0.4184
2018-10-29,-0.8403
2018-10-30,-3.3051
2018-10-31,-1.8405
2018-11-01,6.1607
2018-11-02,-0.841
2018-11-05,-0.8482
2018-11-06,6.8435
2018-11-07,-4.2434
2018-11-08,2.4247
2018-11-09,2.8571
2018-11-12,-0.7143
2018-11-13,1.9984
2018-11-14,-1.8809
2018-11-15,-2.3163
2018-11-16,3.843
2018-11-19,-1.0236
2018-11-20,-0.3978
2018-11-21,0.0
2018-11-23,0.2396
2018-11-26,-0.239
2018-11-27,-1.6773
2018-11-28,0.0812
2018-11-29,-0.2435
2018-11-30,1.0578
2018-12-03,8.6957
2018-12-04,2.2222
2018-12-06,-10.0725
2018-12-07,8.7832
2018-12-10,-3.037
2018-12-11,-0.3056
2018-12-12,2.9119
2018-12-13,-1.7126000000000001
2018-12-14,-7.4242
2018-12-17,2.8642
2018-12-18,-1.3524
2018-12-19,1.2097
2018-12-20,-3.1076
2018-12-21,-2.5493
2018-12-24,-5.4008
2018-12-26,2.3194
2018-12-27,4.6207
2018-12-28,-5.1667
2018-12-31,0.2636
2019-01-02,-4.1192
2019-01-03,0.2742
2019-01-04,1.1851
2019-01-07,1.7117
2019-01-08,0.9743
2019-01-09,3.7719
2019-01-10,-4.2265
2019-01-11,1.5887
2019-01-14,-3.9096
2019-01-15,2.3508
2019-01-16,1.5018
2019-01-17,2.0888
2019-01-18,0.0
2019-01-22,-3.8363
2019-01-23,1.7730000000000001
2019-01-24,-0.784
2019-01-25,4.9166
2019-01-28,-2.6778
2019-01-29,-0.7739
2019-01-30,-0.4333
2019-01-31,2.2628
2019-02-01,-0.3404
2019-02-04,-0.0854
2019-02-05,1.7094
2019-02-06,0.0
2019-02-07,1.8487
2019-02-08,-1.8152
2019-02-11,-0.7563
2019-02-12,1.6088
2019-02-13,-0.8333
2019-02-14,-1.2605
2019-02-15,0.8511
2019-02-19,2.8692
