ticker,DQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-07,7.8947
2010-10-08,-1.1707
2010-10-11,9.8717
2010-10-12,8.2659
2010-10-13,5.4772
2010-10-14,9.6774
2010-10-15,1.9369
2010-10-18,-5.7002
2010-10-19,-12.6119
2010-10-20,2.4765
2010-10-21,-0.75
2010-10-22,12.5105
2010-10-25,3.2836
2010-10-26,-4.263
2010-10-27,1.8868
2010-10-28,-1.3333
2010-10-29,-4.2042
2010-11-01,-5.0157
2010-11-02,6.4356
2010-11-03,3.7984
2010-11-04,6.348
2010-11-05,-3.0197
2010-11-08,3.6856999999999998
2010-11-09,0.4958
2010-11-10,-1.0424
2010-11-11,2.5983
2010-11-12,-4.449
2010-11-15,1.2178
2010-11-16,-5.2371
2010-11-17,-16.4302
2010-11-18,2.681
2010-11-19,0.2611
2010-11-22,1.3889
2010-11-23,-1.5411000000000001
2010-11-24,4.7826
2010-11-26,-3.9844
2010-11-29,-4.0612
2010-11-30,-5.3153
2010-12-01,8.0875
2010-12-02,3.257
2010-12-03,0.341
2010-12-06,-1.4444
2010-12-07,-3.8792999999999997
2010-12-08,1.5247000000000002
2010-12-09,0.53
2010-12-10,-2.2847
2010-12-13,-1.3489
2010-12-14,-4.649
2010-12-15,-1.5295999999999998
2010-12-16,-1.068
2010-12-17,-0.4907
2010-12-20,0.8876
2010-12-21,-1.4663
2010-12-22,-0.8929
2010-12-23,4.6046
2010-12-27,-1.8182
2010-12-28,-2.3489
2010-12-29,0.6088
2010-12-30,-0.7937
2010-12-31,1.6
2011-01-03,1.4764
2011-01-04,0.7759
2011-01-05,8.4697
2011-01-06,19.787
2011-01-07,-1.8519
2011-01-10,-1.283
2011-01-11,3.9755000000000003
2011-01-12,-0.5882
2011-01-13,-1.2574
2011-01-14,-3.2959
2011-01-18,1.3168
2011-01-19,-5.2752
2011-01-20,-2.0178
2011-01-21,-0.8237
2011-01-24,7.1013
2011-01-25,-2.1326
2011-01-26,4.3582
2011-01-27,0.8352
2011-01-28,-1.2801
2011-01-31,0.2288
2011-02-01,5.2511
2011-02-02,6.5799
2011-02-03,-1.6893
2011-02-04,-9.0461
2011-02-07,4.2479
2011-02-08,-2.5473
2011-02-09,-0.8215
2011-02-10,0.5271
2011-02-11,-0.0075
2011-02-14,-4.4872
2011-02-15,2.5882
2011-02-16,3.3639
2011-02-17,-0.1479
2011-02-18,0.2213
2011-02-22,-5.6163
2011-02-23,-3.6022
2011-02-24,-0.0812
2011-02-25,-1.8699
