ticker,GMS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-26,4.3333
2016-05-27,2.6928
2016-05-31,1.3778000000000001
2016-06-01,1.3152
2016-06-02,-1.1251
2016-06-03,-0.4376
2016-06-06,1.011
2016-06-07,-0.3046
2016-06-08,-1.2658
2016-06-09,0.0
2016-06-10,-1.3263
2016-06-13,-1.1201
2016-06-14,-0.0453
2016-06-15,-1.2239
2016-06-16,-3.3961
2016-06-17,-0.2375
2016-06-20,4.6667
2016-06-21,0.5914
2016-06-22,0.2714
2016-06-23,1.1728
2016-06-24,-4.0125
2016-06-27,-7.1064
2016-06-28,1.7
2016-06-29,5.8997
2016-06-30,3.2962
2016-07-01,-1.4830999999999999
2016-07-05,0.5018
2016-07-06,0.3177
2016-07-07,0.5882
2016-07-08,5.2632
2016-07-11,3.1624
2016-07-12,2.0713
2016-07-13,1.6234
2016-07-14,-3.3147
2016-07-15,1.1979
2016-07-18,2.6531000000000002
2016-07-19,1.2326
2016-07-20,0.1964
2016-07-21,1.8032
2016-07-22,1.1937
2016-07-25,-3.2725
2016-07-26,-2.3997
2016-07-27,-0.2821
2016-07-28,2.789
2016-07-29,-0.7078
2016-08-01,-3.2475
2016-08-02,-4.0933
2016-08-03,2.4328
2016-08-04,-0.9167
2016-08-05,-0.3364
2016-08-08,1.2658
2016-08-09,-0.25
2016-08-10,-1.0025
2016-08-11,0.3376
2016-08-12,0.3364
2016-08-15,-1.6764000000000001
2016-08-16,-1.2788
2016-08-17,-3.6701
2016-08-18,1.7033
2016-08-19,4.6276
2016-08-22,1.2637
2016-08-23,0.0416
2016-08-24,-0.2079
2016-08-25,0.375
2016-08-26,0.083
2016-08-29,0.2489
2016-08-30,3.2271
2016-08-31,-1.9238
2016-09-01,-0.0409
2016-09-02,0.7768
2016-09-06,0.2434
2016-09-07,0.2023
2016-09-08,-1.0905
2016-09-09,-8.8199
2016-09-12,0.5374
2016-09-13,-4.588
2016-09-14,0.8403
2016-09-15,3.9815
2016-09-16,-0.3117
2016-09-19,-0.3126
2016-09-20,-1.7473
2016-09-21,0.456
2016-09-22,3.2229
2016-09-23,0.5717
2016-09-26,-2.4049
2016-09-27,-0.1792
2016-09-28,2.0646
2016-09-29,-1.3193
2016-09-30,-0.9358
2016-10-03,-0.3599
2016-10-04,0.0451
2016-10-05,0.7671
2016-10-06,1.1196
2016-10-07,-2.3029
2016-10-10,-0.2267
2016-10-11,-1.045
2016-10-12,-0.4591
2016-10-13,-0.7841
