ticker,VIBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-30,-18.1818
2017-05-31,6.6667
2017-06-01,-2.0833
2017-06-05,6.383
2017-06-06,24.0
2017-06-08,3.2258
2017-06-09,1.5625
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.7692
2017-06-16,0.7634
2017-06-19,3.0303
2017-06-20,2.9412000000000003
2017-06-21,-7.1429
2017-06-22,0.0
2017-06-23,-7.6923
2017-06-26,6.6667
2017-06-27,1.5625
2017-06-28,0.0
2017-06-29,1.5385
2017-06-30,1.5152
2017-07-05,1.4925
2017-07-06,-1.4706000000000001
2017-07-07,2.9851
2017-07-10,2.8986
2017-07-11,1.4085
2017-07-12,1.3889
2017-07-13,0.0
2017-07-14,2.7397
2017-07-17,2.6667
2017-07-18,1.2987
2017-07-19,1.2821
2017-07-20,1.2658
2017-07-21,2.5
2017-07-24,1.2195
2017-07-25,3.6145
2017-07-26,-5.2326
2017-07-27,11.6564
2017-07-28,2.1978
2017-08-01,4.3011
2017-08-02,17.5258
2017-08-03,5.2632
2017-08-04,0.0
2017-08-07,-8.3333
2017-08-08,-2.7273
2017-08-09,-0.9346
2017-08-11,6.6038
2017-08-14,0.885
2017-08-15,2.6316
2017-08-16,2.5641
2017-08-17,3.3333
2017-08-18,0.8065
2017-08-21,0.8
2017-08-22,1.5873
2017-08-23,0.0
2017-08-24,0.7813
2017-08-28,0.0
2017-08-29,-5.4264
2017-08-30,4.918
2017-08-31,1.5625
2017-09-06,-1.5385
2017-09-11,-4.6875
2017-09-12,0.0
2017-09-18,0.0
2017-09-19,0.0
2017-09-21,2.459
2017-09-26,0.8
2017-09-27,0.7937
2017-10-02,-2.3622
2017-10-12,0.0
2017-10-26,4.8387
2017-10-27,-3.0769
2017-10-30,4.7619
2017-10-31,3.7879
2017-11-01,4.3796
2017-11-02,3.014
2017-11-03,3.8626
2017-11-06,3.9215999999999998
2017-11-07,5.0314
2017-11-08,2.3952
2017-11-09,0.5848
2017-11-10,0.5814
2017-11-13,3.4682
2017-11-14,3.352
2017-11-15,3.2432
2017-11-16,3.1414
2017-11-17,4.0609
2017-11-20,1.9512
2017-11-21,-27.2727
2017-11-22,-11.8421
2017-11-24,24.6269
2017-11-27,5.3892
2017-11-28,-7.9545
2017-11-29,-25.3086
2017-11-30,-11.5702
2017-12-01,-15.8879
2017-12-04,-11.0778
2017-12-05,6.2102
2017-12-06,1.1764999999999999
2017-12-07,-6.9767
2017-12-08,-8.75
