ticker,GBFL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-05,-9.0909
2000-01-18,7.5
2000-01-21,0.0
2000-03-02,-6.9767
2000-03-08,0.0
2000-03-14,0.0
2000-03-16,2.5
2000-03-17,0.0
2000-03-22,-21.9512
2000-04-05,18.75
2000-04-13,-1.2464
2000-06-09,-4.7337
2000-06-14,1.3986
2000-06-22,2.069
2000-06-28,13.5135
2000-08-04,-2.3810000000000002
2000-08-15,2.439
2000-08-22,4.7619
2000-08-29,13.6364
2000-09-15,-16.0
2000-09-19,-4.7619
2000-09-20,5.0
2000-09-28,1.1905000000000001
2000-11-14,3.5294
2000-12-05,-4.5455
2001-01-03,1.1905000000000001
2001-01-05,-4.1176
2001-01-17,0.3681
2001-01-18,1.467
2001-02-02,6.0241
2001-02-22,-3.9773
2001-03-05,2.9586
2001-03-13,-2.2989
2001-03-14,2.9412000000000003
2001-03-19,-2.8571
2001-03-20,3.5294
2001-03-26,-1.7045
2001-03-28,-1.7341
2001-03-29,2.9412000000000003
2001-04-18,-4.0
2001-04-27,4.7619
2001-05-04,-2.2727
2001-05-07,2.3256
2001-05-09,-4.5455
2001-05-11,0.2381
2001-06-05,0.4751
2001-06-07,0.4728
2001-07-10,-4.7059
2001-08-02,11.1111
2001-08-20,-5.5556
2001-08-22,0.0
2001-09-10,-1.1764999999999999
2001-09-19,0.0
2001-09-28,0.0
2001-10-01,0.0
2001-10-02,-3.5714
2001-10-04,6.1728
2001-10-18,-2.1395
2001-12-17,2.1863
2001-12-28,0.0
2001-12-31,0.0
2002-01-03,-4.6512
2002-01-10,1.9512
2002-01-30,19.6172
2002-01-31,12.0
2002-02-01,-14.2857
2002-02-05,-7.0833
2002-02-06,0.8969
2002-02-27,0.0
2002-03-11,15.1111
2002-03-18,2.3166
2002-03-19,0.0
2002-03-28,0.0
2002-04-16,30.1887
2002-04-24,-13.0435
2002-05-17,-6.6667
2002-06-03,0.0
2002-06-06,3.5714
2002-06-07,0.0
2002-06-11,3.4483
2002-06-12,1.3333
2002-07-18,0.3289
2002-07-29,-8.1967
2002-08-27,-3.5714
2002-09-04,3.7037
2002-09-11,-7.1429
2002-09-20,7.6923
2002-09-23,7.1429
2002-09-30,0.0
2002-11-05,0.0
2002-12-12,-10.0
2002-12-13,3.7037
2003-01-08,0.0
2003-03-21,15.0
2003-04-16,0.9317
2003-04-22,0.0
2003-04-25,-0.4615
2003-05-12,1.0819
2003-05-13,-3.6696999999999997
2003-05-15,1.5873
