ticker,OPBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-07-25,0.0
2005-07-26,0.0
2005-08-01,0.0
2005-08-05,2.0408
2005-08-08,-16.0
2005-08-30,5.0476
2005-09-30,3.3545
2005-10-04,0.8772
2005-10-11,4.3478
2005-11-01,-5.4167
2005-11-04,1.3216
2005-11-07,0.0
2005-11-22,0.0
2005-12-23,0.4348
2006-01-04,3.0303
2006-01-05,0.0
2006-01-10,0.8403
2006-01-26,-0.4167
2006-01-27,8.7866
2006-01-31,-6.1538
2006-02-01,4.5082
2006-02-10,1.9607999999999999
2006-02-27,3.8462
2006-03-01,1.8519
2006-03-23,0.0
2006-04-27,2.9091
2006-05-08,4.2403
2006-05-19,0.0
2006-05-31,-5.0847
2006-06-07,-1.3571
2006-06-12,2.462
2006-06-30,-2.1201
2006-07-03,-0.6498
2006-07-05,-1.8895
2006-07-13,0.0
2006-07-17,0.0
2006-07-21,0.0
2006-08-17,0.0
2006-09-08,1.4815
2006-09-12,0.0
2006-09-14,-1.4599
2006-09-15,1.8519
2006-09-18,3.6364
2006-09-28,-4.9123
2006-10-04,0.0
2006-10-05,1.845
2006-10-23,-1.8115999999999999
2006-10-31,0.0
2006-11-01,1.476
2006-11-13,0.0
2006-11-14,-1.8182
2006-11-16,0.0
2006-11-22,1.8519
2006-11-27,-1.8182
2006-11-28,1.8519
2006-11-30,-1.8182
2006-12-06,0.0
2006-12-07,-1.1111
2006-12-13,0.3745
2006-12-22,-0.3731
2006-12-28,0.0
2007-02-05,-2.0974
2007-02-14,-2.4484
2007-02-15,-1.9607999999999999
2007-02-16,0.0
2007-02-21,-4.0
2007-02-26,0.0
2007-02-27,4.1667
2007-03-01,-4.0
2007-03-06,-0.8333
2007-03-07,-2.521
2007-03-13,0.0
2007-03-16,-4.7414
2007-03-21,-0.4525
2007-03-29,0.0
2007-03-30,0.0
2007-04-11,-2.2727
2007-04-18,0.0
2007-04-26,2.3256
2007-05-04,-0.6818
2007-05-10,-3.4325
2007-05-18,-0.4739
2007-05-23,-4.7619
2007-05-25,5.0
2007-05-29,1.9048
2007-05-30,-6.5421
2007-05-31,0.0
2007-06-06,0.2
2007-06-12,0.3992
2007-06-13,-0.5964
2007-06-18,0.2
2007-06-21,-0.1996
2007-06-22,-3.0
2007-07-02,-1.0309
2007-07-11,3.6458
2007-07-13,-0.5025
2007-07-17,6.0606
2007-07-20,-1.9048
2007-07-23,-2.4272
2007-07-26,-10.4478
2007-07-27,0.0
2007-08-02,-5.5556
