ticker,LOW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.6946
2000-01-04,-5.3812
2000-01-05,-0.1185
2000-01-06,-0.2372
2000-01-07,2.2592
2000-01-10,3.0233
2000-01-11,-3.1603
2000-01-12,-1.2168
2000-01-13,-1.0626
2000-01-14,3.3413
2000-01-18,-1.6166
2000-01-19,-0.7042
2000-01-20,-4.0189
2000-01-21,-6.6502
2000-01-24,-1.3193
2000-01-25,-1.6042999999999998
2000-01-26,1.3587
2000-01-27,-1.7426
2000-01-28,-2.7285
2000-01-31,0.1403
2000-02-01,5.4622
2000-02-02,0.3984
2000-02-03,-0.2646
2000-02-04,2.6525
2000-02-07,-2.9716
2000-02-08,3.1957
2000-02-09,-4.2581
2000-02-10,-0.6739
2000-02-11,-0.1357
2000-02-14,1.7663
2000-02-15,-1.7356
2000-02-16,-4.8913
2000-02-17,-2.8571
2000-02-18,2.3529
2000-02-22,-1.0057
2000-02-23,-1.1611
2000-02-24,-4.2584
2000-02-25,2.454
2000-02-28,9.4311
2000-02-29,4.6512
2000-03-01,0.0
2000-03-02,-3.7908
2000-03-03,2.1739
2000-03-06,-4.2553
2000-03-07,-7.5
2000-03-08,5.4054
2000-03-09,5.8405000000000005
2000-03-10,-3.0956
2000-03-13,-3.3333
2000-03-14,-2.5862
2000-03-15,6.9322
2000-03-16,10.4828
2000-03-17,2.7466
2000-03-20,-1.7010999999999998
2000-03-21,0.618
2000-03-22,-0.86
2000-03-23,4.2131
2000-03-24,2.2592
2000-03-27,-0.5814
2000-03-28,0.117
2000-03-29,2.9206
2000-03-30,5.3347999999999995
2000-03-31,0.6466
2000-04-03,3.6403
2000-04-04,-1.343
2000-04-05,-0.1047
2000-04-06,0.7338
2000-04-07,0.9365
2000-04-10,1.3402
2000-04-11,-0.9156
2000-04-12,4.3696
2000-04-13,-6.2992
2000-04-14,-4.6546
2000-04-17,-4.0419
2000-04-18,1.0763
2000-04-19,-0.3834
2000-04-20,0.9122
2000-04-24,2.1469
2000-04-25,-3.0973
2000-04-26,-0.5708
2000-04-27,-1.837
2000-04-28,-7.3684
2000-05-01,5.0505
2000-05-02,-2.1635
2000-05-03,-5.6511
2000-05-04,-1.3021
2000-05-05,0.9235
2000-05-08,2.6144
2000-05-09,0.3822
2000-05-10,-1.5228000000000002
2000-05-11,0.3866
2000-05-12,-1.4923
2000-05-15,5.6850000000000005
2000-05-16,-1.8496000000000001
2000-05-17,-3.0151
2000-05-18,1.5544
