ticker,SOFO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.4301
2000-01-04,67.3469
2000-01-05,0.3049
2000-01-06,-4.2553
2000-01-07,-0.3175
2000-01-10,7.6433
2000-01-11,-3.2544
2000-01-12,17.4312
2000-01-13,13.0208
2000-01-14,3.6866
2000-01-18,-10.2222
2000-01-19,0.0
2000-01-20,-1.9802
2000-01-21,5.0505
2000-01-24,1.2019
2000-01-25,22.0903
2000-01-26,6.2257
2000-01-27,-0.7326
2000-01-28,-4.428
2000-01-31,-2.7027
2000-02-01,-1.7856999999999998
2000-02-02,-8.4848
2000-02-03,-5.9603
2000-02-04,-4.6948
2000-02-07,18.1034
2000-02-08,-0.7299
2000-02-09,-2.1008
2000-02-10,0.1073
2000-02-11,2.4652
2000-02-14,4.4979
2000-02-15,3.7037
2000-02-16,-2.7027
2000-02-17,-4.7619
2000-02-18,-0.8333
2000-02-22,-5.4622
2000-02-23,8.0
2000-02-24,-0.823
2000-02-25,2.4896
2000-02-28,1.6194
2000-02-29,14.741
2000-03-01,7.9861
2000-03-02,-2.2508
2000-03-03,-1.4803
2000-03-06,6.8447
2000-03-07,15.0
2000-03-08,3.2609
2000-03-09,7.3684
2000-03-10,15.6863
2000-03-13,5.1907
2000-03-14,3.1219
2000-03-15,-10.9375
2000-03-16,-7.8947
2000-03-17,0.9524
2000-03-20,-8.0189
2000-03-21,-1.5385
2000-03-22,8.2031
2000-03-23,7.7016
2000-03-24,7.0391
2000-03-27,-9.0814
2000-03-28,-8.1515
2000-03-29,-8.5
2000-03-30,-1.6393
2000-03-31,8.3333
2000-04-03,-13.8462
2000-04-04,-6.5476
2000-04-05,-3.8217
2000-04-06,30.3808
2000-04-07,0.5079
2000-04-10,-2.4005
2000-04-11,-2.7832
2000-04-12,-14.2477
2000-04-13,-17.7019
2000-04-14,-37.3585
2000-04-17,-27.560200000000002
2000-04-18,33.0561
2000-04-19,19.6875
2000-04-20,17.1018
2000-04-24,-13.0435
2000-04-25,0.7692
2000-04-26,-9.4148
2000-04-27,2.2472
2000-04-28,-1.6484
2000-05-01,9.4972
2000-05-02,-4.5918
2000-05-03,-2.9412000000000003
2000-05-04,0.2755
2000-05-05,-2.7473
2000-05-08,-1.9774
2000-05-09,-3.4582
2000-05-10,-19.1045
2000-05-11,1.845
2000-05-12,0.0
2000-05-15,-5.7971
2000-05-16,3.0769
2000-05-17,-4.1045
2000-05-18,-4.6693
2000-05-19,-17.551
2000-05-22,-12.8713
