ticker,AMNP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-08-07,0.0
2009-09-28,29.0909
2009-09-29,12.6761
2009-09-30,-3.75
2009-10-01,1.2987
2009-10-02,-3.8462
2009-10-05,-8.0
2009-10-06,23.1884
2009-10-07,21.1765
2009-10-08,21.3592
2009-10-09,-13.6
2009-10-12,4.6296
2009-10-13,2.2124
2009-10-14,3.8961
2009-10-15,4.1667
2009-10-16,8.8
2009-10-19,2.9412000000000003
2009-10-20,1.4285999999999999
2009-10-21,-6.338
2009-10-22,-9.7744
2009-10-23,-8.75
2009-10-26,-17.8082
2009-10-27,4.4444
2009-10-28,-9.0426
2009-10-29,-3.5088
2009-10-30,-6.0606
2009-11-02,5.8065
2009-11-03,-1.2195
2009-11-04,6.1728
2009-11-05,25.5814
2009-11-06,-18.5185
2009-11-09,-17.0455
2009-11-10,10.9589
2009-11-11,7.4074
2009-11-12,-4.5977
2009-11-13,-6.0241
2009-11-16,-5.1282
2009-11-17,-1.3514
2009-11-18,-2.0548
2009-11-19,-2.0979
2009-11-20,1.4285999999999999
2009-11-23,9.7183
2009-11-24,3.3376
2009-11-25,-1.2422
2009-11-27,-6.2893
2009-11-30,8.0537
2009-12-01,0.6211
2009-12-02,12.3457
2009-12-03,6.5934
2009-12-04,-10.3093
2009-12-07,-12.069
2009-12-08,8.7582
2009-12-09,9.975999999999999
2009-12-10,1.6393
2009-12-11,-6.4516
2009-12-14,2.2989
2009-12-15,-3.3708
2009-12-16,-6.9767
2009-12-17,-2.5
2009-12-18,7.6923
2009-12-21,-8.3333
2009-12-22,3.8961
2009-12-23,-2.5
2009-12-24,0.0
2009-12-28,-2.5641
2009-12-29,-1.3158
2009-12-30,-4.0
2009-12-31,0.0
2010-01-04,0.0
2010-01-05,0.0
2010-01-06,-2.7778
2010-01-07,-2.8571
2010-01-08,-1.3235000000000001
2010-01-11,-6.1103
2010-01-12,-4.6032
2010-01-13,-11.8136
2010-01-14,-13.2075
2010-01-15,8.6957
2010-01-19,-8.0
2010-01-20,1.087
2010-01-21,1.0753
2010-01-22,-2.1277
2010-01-25,-6.087
2010-01-26,0.6944
2010-01-27,8.046
2010-01-28,-4.2553
2010-01-29,-1.1111
2010-02-01,-3.3708
2010-02-02,-2.3256
2010-02-03,-2.3810000000000002
2010-02-04,-3.6585
2010-02-05,-3.7975
2010-02-08,0.0
2010-02-09,2.6316
2010-02-10,0.0
2010-02-11,2.3878
2010-02-12,-2.3321
2010-02-16,-2.5641
