ticker,CDLX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-09,2.8462
2018-02-12,16.3052
2018-02-13,14.4695
2018-02-14,1.2921
2018-02-15,-2.7732
2018-02-16,5.5334
2018-02-20,0.1081
2018-02-21,-5.9395
2018-02-22,0.9759
2018-02-23,6.9926
2018-02-26,-3.6663
2018-02-27,-1.4341
2018-02-28,1.7907
2018-03-01,-2.3639
2018-03-02,-2.5901
2018-03-05,-2.8902
2018-03-06,0.2976
2018-03-07,-0.2967
2018-03-08,4.3452
2018-03-09,0.8557
2018-03-12,-1.1312
2018-03-13,-5.6064
2018-03-14,1.8182
2018-03-15,-0.7738
2018-03-16,-1.4397
2018-03-19,0.8521
2018-03-20,0.1811
2018-03-21,0.4217
2018-03-22,-2.3395
2018-03-23,1.4742
2018-03-26,-2.4213
2018-03-27,-7.072
2018-03-28,-1.2684
2018-03-29,-1.0818
2018-04-02,-2.9392
2018-04-03,3.0986
2018-04-04,-3.4153000000000002
2018-04-05,3.1825
2018-04-06,-0.0685
2018-04-09,-0.0686
2018-04-10,-0.4804
2018-04-11,0.5517
2018-04-12,-2.1948
2018-04-13,-0.2805
2018-04-16,1.5471
2018-04-17,-2.2161
2018-04-18,0.4958
2018-04-19,-1.0571
2018-04-20,-3.6325
2018-04-23,5.765
2018-04-24,-4.9616
2018-04-25,-0.4412
2018-04-26,0.1477
2018-04-27,-1.1062
2018-04-30,4.5488
2018-05-01,0.6419
2018-05-02,6.8746
2018-05-03,-3.2493
2018-05-04,-1.0281
2018-05-07,1.8698000000000001
2018-05-08,28.8239
2018-05-09,7.8628
2018-05-10,-0.7339
2018-05-11,-0.2957
2018-05-14,-6.3767
2018-05-15,-0.0528
2018-05-16,3.4337
2018-05-17,-0.6639
2018-05-18,-0.1028
2018-05-21,3.4997
2018-05-22,-3.7295
2018-05-23,3.8223000000000003
2018-05-24,-1.1443
2018-05-25,0.7549
2018-05-29,4.5954
2018-05-30,1.767
2018-05-31,-4.1764
2018-06-01,1.9588999999999999
2018-06-04,-0.0961
2018-06-05,2.7404
2018-06-06,0.9827
2018-06-07,1.2511999999999999
2018-06-08,-0.3661
2018-06-11,-0.1378
2018-06-12,0.414
2018-06-13,2.8859
2018-06-14,-3.3393
2018-06-15,2.3491
2018-06-18,13.0063
2018-06-19,-0.1991
2018-06-20,-0.5587
2018-06-21,-1.9262000000000001
2018-06-22,0.0409
2018-06-25,-2.6176
2018-06-26,0.462
2018-06-27,-7.4833
2018-06-28,1.6268
