ticker,DGLT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-10,0.0
2014-07-11,0.6667
2014-07-14,-0.6623
2014-07-15,0.6667
2014-07-16,-0.6623
2014-07-17,0.0
2014-07-18,0.6667
2014-07-22,0.0
2014-07-23,5.9603
2014-07-24,-1.25
2014-07-25,-1.2658
2014-07-28,0.0
2014-07-29,-0.641
2014-07-30,0.0
2014-07-31,0.0
2014-08-01,0.0
2014-08-04,-2.5806
2014-08-05,-0.6623
2014-08-07,0.0
2014-08-08,0.0
2014-08-11,0.0
2014-08-12,4.6667
2014-08-13,7.6433
2014-08-14,-10.6509
2014-08-15,9.2715
2014-08-19,-8.4848
2014-08-20,-0.6623
2014-08-21,0.0
2014-08-22,9.3333
2014-08-25,-8.5366
2014-08-26,0.0
2014-08-28,0.0
2014-08-29,0.0
2014-09-02,6.6667
2014-09-03,-6.25
2014-09-04,0.0
2014-09-05,0.0
2014-09-08,0.0
2014-09-09,0.0
2014-09-10,0.0
2014-09-11,0.0
2014-09-12,-29.3333
2014-09-15,40.566
2014-09-16,-2.6846
2014-09-17,0.0
2014-09-18,4.1379
2014-09-19,7.947
2014-09-23,-7.9755
2014-09-24,-6.6667
2014-09-26,-0.7143
2014-09-29,-6.4748
2014-09-30,14.6154
2014-10-01,-9.396
2014-10-03,-3.7037
2014-10-07,3.8462
2014-10-08,11.1111
2014-10-10,-6.6667
2014-10-13,-5.7143
2014-10-14,-3.0303
2014-10-15,17.1875
2014-10-16,-3.3333
2014-10-17,-3.4483
2014-10-20,0.0
2014-10-22,0.0
2014-10-23,-3.5714
2014-10-24,-2.2222
2014-10-27,-1.5152
2014-10-28,15.3846
2014-10-29,-3.3333
2014-10-30,-0.6897
2014-10-31,6.9444
2014-11-03,-15.5844
2014-11-04,9.2308
2014-11-05,4.9296
2014-11-06,0.0
2014-11-07,-0.6711
2014-11-10,-0.6757
2014-11-11,0.0
2014-11-12,0.0
2014-11-13,1.3605
2014-11-14,-4.0268
2014-11-17,1.3986
2014-11-18,-48.2759
2014-11-19,73.3333
2014-11-20,-7.6923
2014-11-21,0.0
2014-11-24,4.1667
2014-11-25,-4.0
2014-11-26,7.5
2014-11-28,17.0543
2014-12-01,-0.6623
2014-12-03,6.6667
2014-12-05,-18.75
2014-12-08,-5.3846
2014-12-09,-2.439
2014-12-10,0.0
2014-12-12,0.0
2014-12-15,4.1667
2014-12-16,-4.8
2014-12-17,-3.3613
2014-12-18,13.0435
2014-12-19,3.8462
