ticker,HY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-01,-5.172
2012-10-02,6.7374
2012-10-03,-2.7977
2012-10-04,-3.901
2012-10-05,0.495
2012-10-08,-3.1527
2012-10-09,-3.1282
2012-10-10,2.6779
2012-10-11,-0.3068
2012-10-12,1.2824
2012-10-15,3.3173
2012-10-16,-0.2696
2012-10-17,2.7279
2012-10-18,0.9569
2012-10-19,-2.5355
2012-10-22,-0.9239
2012-10-23,-2.3804
2012-10-24,-0.6285
2012-10-25,0.8854
2012-10-26,-0.9278
2012-10-31,3.9737
2012-11-01,4.333
2012-11-02,-0.5133
2012-11-05,2.5328
2012-11-06,0.4117
2012-11-07,-3.1207
2012-11-08,0.047
2012-11-09,-0.3995
2012-11-12,2.2888
2012-11-13,-0.3691
2012-11-14,0.1621
2012-11-15,-3.5599
2012-11-16,-1.1266
2012-11-19,0.6061
2012-11-20,0.3373
2012-11-21,-1.3449
2012-11-23,-0.2434
2012-11-26,-0.1952
2012-11-27,-0.9535
2012-11-28,0.0987
2012-11-29,3.0521
2012-11-30,-0.1204
2012-12-03,2.0974
2012-12-04,0.5667
2012-12-05,3.0054
2012-12-06,-0.889
2012-12-07,5.0828
2012-12-10,1.5102
2012-12-11,0.4312
2012-12-12,-2.1468
2012-12-13,0.9215
2012-12-14,-0.3636
2012-12-17,3.4215
2012-12-18,0.6617
2012-12-19,3.1332
2012-12-20,-0.4674
2012-12-21,0.0
2012-12-24,2.1772
2012-12-26,0.7729
2012-12-27,0.1036
2012-12-28,0.0
2012-12-31,1.0561
2013-01-02,3.1148
2013-01-03,1.5501
2013-01-04,0.3718
2013-01-07,-3.3145
2013-01-08,2.7223
2013-01-09,0.5104
2013-01-10,-1.6406
2013-01-11,-1.7673
2013-01-14,-0.4245
2013-01-15,1.1165
2013-01-16,0.4015
2013-01-17,0.7199
2013-01-18,-0.3574
2013-01-22,0.2192
2013-01-23,-0.7555
2013-01-24,0.3606
2013-01-25,0.1796
2013-01-28,0.1793
2013-01-29,0.4773
2013-01-30,-0.8116
2013-01-31,0.1397
2013-02-01,1.8334000000000001
2013-02-04,-1.8004
2013-02-05,-0.7373
2013-02-06,-1.6261999999999999
2013-02-07,-0.7755
2013-02-08,2.9
2013-02-11,0.5397
2013-02-12,2.008
2013-02-13,-1.6176
2013-02-14,-1.1688
2013-02-15,-0.2004
2013-02-19,-1.2251
2013-02-20,0.5083
2013-02-21,-0.5058
2013-02-22,2.867
2013-02-25,-1.7395
2013-02-26,0.5834
