ticker,LBYE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-17,-5.8824
2010-03-18,0.0
2010-03-19,0.0
2010-03-25,6.25
2010-03-26,17.647100000000002
2010-03-29,0.0
2010-03-30,-1.0
2010-03-31,-4.0404
2010-04-01,10.526299999999999
2010-04-05,-4.7619
2010-04-06,0.0
2010-04-07,-5.0
2010-04-08,4.2105
2010-04-09,-9.0909
2010-04-12,-11.1111
2010-04-13,6.25
2010-04-14,-4.7059
2010-04-15,11.1111
2010-04-16,2.1111
2010-04-19,-5.3319
2010-04-20,-4.5977
2010-04-21,-4.8193
2010-04-22,10.1266
2010-04-23,-1.1494
2010-04-26,-5.814
2010-04-27,3.7037
2010-04-28,4.7619
2010-04-29,-6.8182
2010-04-30,0.0
2010-05-03,0.0
2010-05-04,-7.3171
2010-05-05,-1.3158
2010-05-06,0.0
2010-05-07,4.0
2010-05-10,-1.2821
2010-05-11,-6.4935
2010-05-12,8.3333
2010-05-13,5.1282
2010-05-17,-1.2195
2010-05-18,-4.9383
2010-05-19,-9.0909
2010-05-20,-7.1429
2010-05-21,-12.3077
2010-05-25,-3.5088
2010-05-26,0.0
2010-05-27,0.0
2010-05-28,49.0909
2010-06-01,-34.1463
2010-06-02,0.0
2010-06-04,0.0
2010-06-08,0.0
2010-06-09,9.2593
2010-06-14,27.1186
2010-06-24,-66.6667
2010-06-28,0.0
2010-06-29,6.0
2010-07-08,0.0
2010-07-09,0.0
2010-07-12,0.0
2010-07-14,88.6792
2010-07-15,20.0
2010-07-16,0.0
2010-07-19,-55.8333
2010-07-22,0.0
2010-07-28,0.0
2010-08-02,0.0
2010-08-04,0.0
2010-08-09,0.0
2010-08-11,0.0
2010-08-16,107.5472
2010-08-19,18.1818
2010-08-23,-7.6923
2010-08-24,11.6667
2010-08-25,10.4478
2010-08-27,1.3514
2010-08-31,0.0
2010-09-01,0.0
2010-09-02,-6.6667
2010-09-03,0.0
2010-09-07,7.1429
2010-09-08,0.0
2010-09-09,0.0
2010-09-10,1.3333
2010-09-13,1.3158
2010-09-14,-3.8961
2010-09-15,1.3514
2010-09-16,-6.6667
2010-09-17,-1.4285999999999999
2010-09-20,0.0
2010-09-21,5.7971
2010-09-22,-1.3699
2010-09-23,-6.9444
2010-09-24,0.0
2010-09-27,-1.4925
2010-09-28,6.0606
2010-09-29,-12.857099999999999
2010-09-30,3.2787
2010-10-01,0.0
2010-10-04,-4.7619
2010-10-05,0.8333
2010-10-06,7.438
2010-10-07,-10.7692
