ticker,CHEF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-07-28,16.6667
2011-07-29,1.4285999999999999
2011-08-01,1.4085
2011-08-02,0.0556
2011-08-03,2.7207
2011-08-04,-5.2432
2011-08-05,-0.057
2011-08-08,-5.8219
2011-08-09,0.5455
2011-08-10,0.5425
2011-08-11,-1.4388
2011-08-12,0.5474
2011-08-15,0.242
2011-08-16,-0.1811
2011-08-17,-0.5441
2011-08-18,-1.6413
2011-08-19,-5.8096
2011-08-22,-4.9213000000000005
2011-08-23,2.1394
2011-08-24,2.4324
2011-08-25,-1.3852
2011-08-26,-6.5552
2011-08-29,-0.4295
2011-08-30,1.294
2011-08-31,2.9099
2011-09-01,-2.8966
2011-09-02,-3.6932
2011-09-06,-4.2773
2011-09-07,5.624
2011-09-08,0.7294
2011-09-09,0.3621
2011-09-12,0.5051
2011-09-13,1.2922
2011-09-14,-0.3544
2011-09-15,8.1081
2011-09-16,1.1184
2011-09-19,-1.4964
2011-09-20,-1.9815
2011-09-21,-3.3693
2011-09-22,-1.9526
2011-09-23,-0.4267
2011-09-26,-3.9286
2011-09-27,0.4461
2011-09-28,-5.1073
2011-09-29,-1.8721
2011-09-30,-6.5183
2011-10-03,-0.5102
2011-10-04,9.2308
2011-10-05,0.1565
2011-10-06,0.3125
2011-10-07,0.9346
2011-10-10,1.6204
2011-10-11,2.8094
2011-10-12,-1.1078000000000001
2011-10-13,-1.0456
2011-10-14,-1.6604
2011-10-17,-2.8396
2011-10-18,5.1343
2011-10-19,-1.0518
2011-10-20,-0.7593
2011-10-21,4.9732
2011-10-24,0.8746
2011-10-25,-4.7688
2011-10-26,1.0622
2011-10-27,4.5796
2011-10-28,6.3891
2011-10-31,-3.5762
2011-11-01,-1.0497
2011-11-02,1.1315
2011-11-03,3.007
2011-11-04,-3.2587
2011-11-07,-1.193
2011-11-08,0.8523
2011-11-09,-5.0704
2011-11-10,0.8902
2011-11-11,-0.0735
2011-11-14,-1.3981
2011-11-15,3.209
2011-11-16,0.5785
2011-11-17,-0.2876
2011-11-18,2.3071
2011-11-21,-1.339
2011-11-22,-1.0714
2011-11-23,-0.2888
2011-11-25,-5.0688
2011-11-28,3.6612999999999998
2011-11-29,-3.6792
2011-11-30,2.2154
2011-12-01,3.0643
2011-12-02,4.9311
2011-12-05,3.2481
2011-12-06,6.0241
2011-12-07,-2.7146
2011-12-08,-0.4543
2011-12-09,7.236
2011-12-12,-4.6201
2011-12-13,-2.167
2011-12-14,-0.6515
