ticker,ATOS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-11-08,-4.0
2012-11-09,-15.625
2012-11-12,13.5802
2012-11-13,-3.9130000000000003
2012-11-14,-2.7178
2012-11-15,8.6078
2012-11-16,-8.3512
2012-11-19,5.1373
2012-11-20,-0.6556
2012-11-21,1.7812000000000001
2012-11-23,1.0989
2012-11-26,0.0
2012-11-27,-1.3043
2012-11-28,-0.8811
2012-11-29,0.6667
2012-11-30,0.6623
2012-12-03,-6.3596
2012-12-04,7.7283
2012-12-05,-5.4348
2012-12-06,1.1466
2012-12-07,7.9576
2012-12-10,1.4737
2012-12-11,3.527
2012-12-12,-1.4028
2012-12-13,-3.6585
2012-12-14,-4.2194
2012-12-17,-6.6079
2012-12-18,-7.8065999999999995
2012-12-19,-1.5093
2012-12-20,6.7532
2012-12-21,3.4063
2012-12-24,4.2353
2012-12-27,-8.5779
2012-12-28,8.2469
2012-12-31,-11.0401
2013-01-02,-2.5641
2013-01-03,13.4211
2013-01-04,-4.8724
2013-01-07,-3.6616
2013-01-08,4.8134
2013-01-09,1.2046999999999999
2013-01-10,-3.0997
2013-01-11,3.202
2013-01-14,1.432
2013-01-15,4.4662
2013-01-16,1.5583
2013-01-17,-7.7401
2013-01-18,6.1253
2013-01-22,-3.5067
2013-01-23,0.4079
2013-01-24,4.2696
2013-01-25,-2.3094
2013-01-28,8.1019
2013-01-29,8.8495
2013-01-30,-1.8883999999999999
2013-01-31,4.175
2013-02-01,2.2901
2013-02-04,-4.8507
2013-02-05,7.8431
2013-02-06,3.4545
2013-02-07,3.3392
2013-02-08,0.3401
2013-02-11,7.6271
2013-02-12,25.1969
2013-02-13,-11.9497
2013-02-14,-3.2857
2013-02-15,5.4653
2013-02-19,-7.8151
2013-02-20,1.0331
2013-02-21,5.562
2013-02-22,-1.3248
2013-02-25,-5.5851
2013-02-26,-2.7523
2013-02-27,1.4151
2013-02-28,-0.7752
2013-03-01,5.4688
2013-03-04,0.0
2013-03-05,-4.2963000000000005
2013-03-06,0.0
2013-03-07,-1.548
2013-03-08,8.805
2013-03-11,-5.1012
2013-03-12,0.5025
2013-03-13,5.0
2013-03-14,-3.8961
2013-03-15,11.1111
2013-03-18,24.4595
2013-03-19,34.3105
2013-03-20,-14.4705
2013-03-21,3.4026
2013-03-22,1.0055
2013-03-25,2.7149
2013-03-26,-0.4141
2013-03-27,-15.5092
2013-03-28,-8.377
2013-04-01,1.1429
2013-04-02,2.7119
2013-04-03,-11.9912
