ticker,THST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-20,-5.3333
2013-06-21,3.8731999999999998
2013-06-24,-1.6949
2013-06-25,0.1724
2013-06-26,-2.5818
2013-06-27,-0.3534
2013-06-28,4.6077
2013-07-01,-5.9302
2013-07-02,2.3423
2013-07-03,0.3521
2013-07-05,-2.4561
2013-07-08,2.1583
2013-07-09,0.1761
2013-07-10,-7.2056000000000004
2013-07-11,-1.5152
2013-07-12,-3.2692
2013-07-15,0.7952
2013-07-16,-0.9862
2013-07-17,0.5976
2013-07-18,8.9109
2013-07-19,-2.3636
2013-07-22,5.959
2013-07-23,-1.5817
2013-07-24,1.7856999999999998
2013-07-25,-3.5088
2013-07-26,-0.1818
2013-07-29,-5.1002
2013-07-30,1.5354999999999999
2013-07-31,-3.5917
2013-08-01,2.9412000000000003
2013-08-02,0.0
2013-08-06,3.8095
2013-08-07,0.8257
2013-08-08,4.6406
2013-08-09,-0.3478
2013-08-12,-4.3629999999999995
2013-08-13,-3.2847
2013-08-14,-0.9434
2013-08-15,1.1429
2013-08-16,-0.1883
2013-08-20,-0.9434
2013-08-21,2.6667
2013-08-22,2.2263
2013-08-23,-3.4483
2013-08-26,-2.2556
2013-08-27,1.9231
2013-08-28,-1.1320999999999999
2013-08-29,1.145
2013-08-30,0.0024
2013-09-03,4.7145
2013-09-04,-0.9009
2013-09-05,-0.5455
2013-09-06,2.3766
2013-09-09,1.7856999999999998
2013-09-10,-0.9649
2013-09-11,3.4544
2013-09-12,-5.6507
2013-09-13,-0.726
2013-09-16,-2.7422
2013-09-17,-2.4436
2013-09-18,-0.7707
2013-09-19,0.0
2013-09-20,-6.9902999999999995
2013-09-23,1.4614
2013-09-24,4.9383
2013-09-25,9.2157
2013-09-26,-2.3339
2013-09-27,-7.3529
2013-09-30,9.0935
2013-10-01,-0.1512
2013-10-02,-0.1821
2013-10-03,-0.1825
2013-10-04,-3.1993
2013-10-07,-2.1719
2013-10-08,-3.0888
2013-10-09,1.7928
2013-10-10,1.9569
2013-10-11,-4.7985
2013-10-14,0.6048
2013-10-15,-0.4008
2013-10-16,0.2012
2013-10-17,0.4016
2013-10-18,1.2
2013-10-21,-3.1621
2013-10-22,-3.4694
2013-10-24,1.2685
2013-10-25,0.6263
2013-10-28,-3.7344
2013-10-29,3.6638
2013-10-30,-3.5343
2013-10-31,7.7586
2013-11-01,0.0
2013-11-04,4.4
2013-11-05,-5.364
2013-11-06,-1.0121
2013-11-07,-4.2945
