ticker,RESN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-29,51.6667
2014-05-30,-7.9121
2014-06-02,-5.1313
2014-06-03,-4.4025
2014-06-04,3.8158
2014-06-05,3.9290000000000003
2014-06-06,-0.7317
2014-06-09,-2.5799
2014-06-10,-2.396
2014-06-11,1.1628
2014-06-12,-1.0217
2014-06-13,-1.4194
2014-06-16,-0.6545
2014-06-17,-4.4796
2014-06-18,0.6897
2014-06-19,1.6438000000000001
2014-06-20,1.0672
2014-06-23,1.7444
2014-06-24,2.228
2014-06-25,2.5641
2014-06-26,6.875
2014-06-27,-3.0409
2014-06-30,-6.8758
2014-07-01,-7.385
2014-07-02,-0.1451
2014-07-03,0.8474
2014-07-07,3.1944
2014-07-08,-2.4226
2014-07-09,-1.3793
2014-07-10,-1.3986
2014-07-11,2.1277
2014-07-14,-0.8333
2014-07-15,-7.423
2014-07-16,-1.3616
2014-07-17,-3.9877000000000002
2014-07-18,3.8339
2014-07-21,2.3077
2014-07-22,0.0
2014-07-23,6.3158
2014-07-24,-0.8487
2014-07-25,0.0
2014-07-28,1.2839
2014-07-29,-2.8169
2014-07-31,-5.942
2014-08-01,4.1602
2014-08-04,2.071
2014-08-05,0.5797
2014-08-06,-2.8818
2014-08-07,3.1157
2014-08-08,13.2356
2014-08-11,-8.1307
2014-08-12,-3.7344
2014-08-13,-0.7184
2014-08-14,-1.5918999999999999
2014-08-15,2.9412000000000003
2014-08-18,9.4286
2014-08-19,0.5222
2014-08-20,5.7143
2014-08-21,-0.2457
2014-08-22,-0.6158
2014-08-25,-1.487
2014-08-26,-0.9434
2014-08-27,-5.3968
2014-08-28,-1.0738
2014-08-29,0.5427
2014-09-02,-7.2874
2014-09-03,-0.8734
2014-09-04,-0.2937
2014-09-05,0.1473
2014-09-08,0.0
2014-09-09,0.0
2014-09-10,-4.4118
2014-09-11,-0.1538
2014-09-12,3.8521
2014-09-15,-8.1602
2014-09-16,4.4426
2014-09-17,5.1817
2014-09-18,-0.2941
2014-09-19,-4.1298
2014-09-22,-3.8462
2014-09-23,4.32
2014-09-24,-2.1837
2014-09-25,-1.7787
2014-09-26,2.4893
2014-09-29,7.4745
2014-09-30,5.6522
2014-10-01,3.5665
2014-10-02,-7.6821
2014-10-03,-1.7217
2014-10-06,-4.6715
2014-10-07,0.1512
2014-10-08,-0.9155
2014-10-09,-2.0062
2014-10-10,-0.7874
2014-10-13,-3.9683
2014-10-14,-4.1322
2014-10-15,-9.1379
2014-10-16,8.1594
