ticker,GLBD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-19,15.9763
2014-12-17,-23.4694
2015-04-06,52.0
2015-05-08,10.526299999999999
2015-05-18,26.5873
2015-10-09,25.3918
2015-11-23,6.25
2015-11-24,-5.8824
2015-11-25,0.0
2015-11-27,3.75
2015-11-30,-3.6145
2015-12-01,0.0
2015-12-03,1.25
2015-12-04,0.2469
2015-12-07,-1.2315
2015-12-08,1.4963
2015-12-09,-1.4742
2015-12-10,-3.99
2015-12-11,3.8961
2015-12-14,5.0
2015-12-15,-3.5714
2015-12-16,-8.642
2015-12-17,8.1081
2015-12-21,-25.0
2015-12-22,23.3333
2015-12-23,-32.4324
2015-12-28,-10.8
2015-12-30,52.4664
2015-12-31,2.9412000000000003
2016-01-04,4.2857
2016-01-07,-20.5479
2016-01-22,-0.3448
2016-03-17,-48.0969
2016-03-23,0.0
2016-03-31,-63.3333
2016-09-20,0.0
2016-10-19,27.2727
2016-11-04,52.8571
2017-01-11,21.4953
2017-01-12,-23.0769
2017-01-25,25.0
2017-01-27,16.0
2017-02-10,-0.6897
2017-02-13,18.0556
2017-02-14,44.1176
2017-02-16,42.8571
2017-02-27,157.1429
2017-07-24,-61.1111
2017-08-03,0.0
2018-06-11,0.0
2018-06-12,-14.2857
2018-07-09,-16.6667
2018-07-10,0.0
2018-07-11,-1.6
2018-07-17,42.2764
2018-07-26,1.4285999999999999
2018-07-27,-1.4085
2018-07-30,-7.1429
2018-08-01,-14.6154
2018-08-02,-27.9279
2018-08-07,25.0
2018-09-04,-40.0
2018-09-07,0.0
2018-09-14,-10.0
2018-09-17,29.6296
2018-09-20,-0.5714
2018-10-18,-28.1609
2018-10-19,39.2
2018-10-23,14.9425
2018-10-24,10.0
2018-11-26,2.2727
2019-03-04,-10.8889
2019-07-23,-23.3167
2019-08-26,-2.439
2019-10-04,3.3333
2019-10-31,61.2903
2019-11-01,-20.0
2019-11-04,-4.5
2019-11-08,-2.6178
2019-11-12,0.0
2019-11-15,0.0
2019-12-03,-8.6022
2019-12-20,0.0
2020-01-10,2.9412000000000003
2020-01-14,-14.2857
2020-01-15,-81.3267
2020-01-16,24.9554
2020-01-17,28.5714
2020-01-21,11.1111
2020-01-22,2.0
2020-01-28,0.1961
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,1.7612999999999999
2020-02-05,53.0769
2020-02-06,25.6281
2020-02-07,-40.5
2020-02-18,21.0084
2020-02-19,-6.9444
2020-02-28,-2.9851
2020-03-04,0.0
2020-03-05,23.0769
2020-03-11,-6.25
2020-03-12,0.0
2020-04-23,-37.3333
2020-04-27,12.766
2020-04-30,-11.3208
2020-05-01,59.1489
2020-05-12,-25.1337
2020-05-21,0.0
2020-05-26,0.0
2020-06-23,-23.2143
2020-06-25,-25.5814
2020-06-30,-17.1875
2020-07-02,96.2264
2020-07-09,-0.3846
2020-07-13,-55.5985
2020-07-14,126.087
2020-07-27,-55.7692
2020-07-28,8.6957
2020-07-29,39.2
