ticker,LUMB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-11-22,-32.1875
2019-12-12,4.8462
2019-12-17,0.0
2019-12-23,0.9778
2020-01-02,5.6338
2020-01-07,0.0
2020-01-14,-4.1667
2020-01-22,-2.1739
2020-01-28,2.2222
2020-02-10,4.3478
2020-02-11,0.0
2020-02-14,-1.6667
2020-02-20,-0.8475
2020-03-09,-5.9829
2020-03-17,4.5455
2020-03-19,-13.0435
2020-03-26,10.0
2020-03-31,0.0
2020-05-06,-9.0909
2020-05-13,-9.5
2020-05-29,7.7348
2020-06-02,0.001
2020-06-03,-0.001
2020-06-04,8.9231
2020-06-09,0.001
2020-06-23,-0.001
2020-07-01,-3.3333
2020-07-13,-3.9409
2020-07-29,0.0
