ticker,PCH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0616
2000-01-04,-2.7737
2000-01-05,3.3033
2000-01-06,1.9169
2000-01-07,1.2567
2000-01-10,-1.6901000000000002
2000-01-11,-2.0057
2000-01-12,1.462
2000-01-13,0.2882
2000-01-14,-0.5747
2000-01-18,-3.0347
2000-01-19,1.3413
2000-01-20,-3.2353
2000-01-21,-1.5198
2000-01-24,-0.6173
2000-01-25,-0.6211
2000-01-26,1.5625
2000-01-27,-0.1538
2000-01-28,1.2327
2000-01-31,-1.9787
2000-02-01,0.3106
2000-02-02,-0.3096
2000-02-03,0.1553
2000-02-04,-0.7752
2000-02-07,-3.4436999999999998
2000-02-08,1.1457
2000-02-09,-1.7799
2000-02-10,-0.1647
2000-02-11,-2.3102
2000-02-14,3.3784
2000-02-15,4.085
2000-02-16,-2.5118
2000-02-17,-0.9662
2000-02-18,-2.1138
2000-02-22,3.1561
2000-02-23,-1.2882
2000-02-24,-1.6313
2000-02-25,-1.99
2000-02-28,-0.6768
2000-02-29,3.5775
2000-03-01,-1.4803
2000-03-02,-1.0017
2000-03-03,3.7099
2000-03-06,-1.9512
2000-03-07,-2.3217
2000-03-08,2.2071
2000-03-09,2.3256
2000-03-10,1.1364
2000-03-13,1.2841
2000-03-14,-3.9619999999999997
2000-03-15,5.1155
2000-03-16,5.3375
2000-03-17,-2.3845
2000-03-20,0.3053
2000-03-21,1.5221
2000-03-22,-3.5982
2000-03-23,2.0218
2000-03-24,-2.2866
2000-03-27,0.156
2000-03-28,-2.648
2000-03-29,2.08
2000-03-30,2.8213
2000-03-31,4.878
2000-04-03,-0.5814
2000-04-04,-2.6316
2000-04-05,-1.3514
2000-04-06,-1.3699
2000-04-07,0.9259
2000-04-10,3.0581
2000-04-11,2.0772
2000-04-12,0.0
2000-04-13,-1.0174
2000-04-14,-4.8458
2000-04-17,0.0
2000-04-18,-2.1605
2000-04-19,-0.7886
2000-04-20,-0.318
2000-04-24,-0.4785
2000-04-25,4.4872
2000-04-26,-1.227
2000-04-27,-2.1739
2000-04-28,0.1587
2000-05-01,1.5848
2000-05-02,0.312
2000-05-03,-1.7107
2000-05-04,0.3165
2000-05-05,-0.3155
2000-05-08,-0.481
2000-05-09,-0.4823
2000-05-10,2.5848
2000-05-11,1.2598
2000-05-12,0.311
2000-05-15,3.7209
2000-05-16,-1.6442
2000-05-17,-1.2158
2000-05-18,-0.9231
2000-05-19,-1.087
2000-05-22,-1.0989
