ticker,CACH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-21.1538
2000-01-04,0.0
2000-01-05,-3.6585
2000-01-06,3.7975
2000-01-07,1.2195
2000-01-10,-6.0241
2000-01-11,-10.2564
2000-01-12,1.4285999999999999
2000-01-13,-1.4085
2000-01-14,2.8571
2000-01-18,2.7778
2000-01-19,1.3514
2000-01-20,-1.3333
2000-01-21,2.7027
2000-01-24,-10.526299999999999
2000-01-25,-8.8235
2000-01-26,8.0645
2000-01-27,-3.7313
2000-01-28,-0.7752
2000-01-31,0.0
2000-02-01,0.0
2000-02-02,-6.25
2000-02-03,6.6667
2000-02-04,-1.5625
2000-02-07,-4.7619
2000-02-08,-0.8333
2000-02-09,2.521
2000-02-10,-1.6393
2000-02-11,0.0
2000-02-14,6.6667
2000-02-15,0.0
2000-02-16,-6.25
2000-02-17,13.3333
2000-02-18,-7.3529
2000-02-22,-3.1746
2000-02-23,1.6393
2000-02-24,-3.2258
2000-02-25,3.3333
2000-02-28,16.129
2000-02-29,8.3333
2000-03-01,-2.5641
2000-03-02,-10.526299999999999
2000-03-03,0.0
2000-03-06,17.647100000000002
2000-03-07,-1.25
2000-03-08,1.2658
2000-03-09,0.0
2000-03-10,-13.75
2000-03-13,-1.4493
2000-03-14,-8.8235
2000-03-15,0.0
2000-03-16,9.6774
2000-03-17,0.7353
2000-03-20,-3.6496
2000-03-21,-6.0606
2000-03-22,3.2258
2000-03-23,-4.6875
2000-03-24,-0.8197
2000-03-27,0.0
2000-03-28,-0.8264
2000-03-29,1.6667
2000-03-30,0.0
2000-03-31,50.8197
2000-04-03,-15.2174
2000-04-04,2.5641
2000-04-05,-7.5
2000-04-06,0.0
2000-04-07,2.7027
2000-04-10,-2.6316
2000-04-11,1.3514
2000-04-12,4.0
2000-04-13,0.0
2000-04-14,-16.6667
2000-04-17,0.0
2000-04-18,-1.5385
2000-04-19,21.875
2000-04-24,-0.641
2000-04-25,-1.2903
2000-04-26,-4.5752
2000-04-27,6.8493
2000-04-28,-11.538499999999999
2000-05-01,-5.0725
2000-05-02,5.3435
2000-05-03,-2.5362
2000-05-04,4.8327
2000-05-05,2.1277
2000-05-08,0.0
2000-05-09,-1.3889
2000-05-10,1.4085
2000-05-11,0.0
2000-05-12,-8.3333
2000-05-15,0.0
2000-05-16,3.0303
2000-05-18,-2.9412000000000003
2000-05-19,-2.2727
2000-05-22,0.0
2000-05-23,-0.7752
2000-05-24,-4.6875
2000-05-25,0.0
2000-05-26,-4.918
