ticker,CIBY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-05-26,25.8706
2009-06-02,-1.1858
2009-06-09,0.8
2009-07-24,13.0952
2009-07-27,0.7018
2009-07-28,2.7875
2009-07-31,2.3729
2009-08-03,0.3311
2009-08-06,0.0
2009-08-11,0.0
2009-08-13,0.0
2009-08-17,0.0
2009-08-18,0.6601
2009-08-21,3.2787
2009-09-02,0.3175
2009-09-09,26.5823
2009-09-24,-23.25
2009-09-25,0.0
2009-09-29,0.6515
2009-10-05,0.3236
2009-10-08,0.0
2009-10-09,12.9032
2009-10-14,-11.4286
2009-10-19,0.0
2009-10-20,12.9032
2009-11-10,-9.4286
2009-11-11,0.0
2009-11-18,0.0
2009-11-19,0.0
2009-12-01,0.0
2009-12-02,0.0
2009-12-03,0.3155
2009-12-04,0.1572
2009-12-10,9.5153
2009-12-14,0.0
2009-12-16,0.0
2009-12-18,0.0
2009-12-21,1.3115
2009-12-22,0.6472
2010-01-05,1.9293
2010-01-06,0.0
2010-01-07,0.9464
2010-01-11,0.625
2010-01-14,0.9317
2010-01-15,0.0
2010-01-20,1.5385
2010-01-26,0.0
2010-01-27,0.6061
2010-02-01,0.0
2010-02-02,0.0
2010-02-04,0.0
2010-02-05,0.0
2010-02-09,0.9036
2010-02-10,0.0
2010-02-12,0.2985
2010-02-22,0.003
2010-02-26,0.0
2010-03-05,-0.003
2010-03-15,0.0
2010-03-17,-0.2976
2010-03-18,0.0
2010-03-31,1.4925
2010-04-08,-1.4706000000000001
2010-04-09,0.0
2010-04-21,0.0
2010-05-10,0.0
2010-05-20,-1.4925
2010-05-21,-2.4242
2010-05-24,5.5901
2010-05-25,8.8235
2010-05-26,0.0
2010-05-27,0.0
2010-06-03,8.1081
2010-06-21,6.25
2010-06-25,-2.3529
2010-06-30,-3.6145
2010-07-12,0.0
2010-07-13,-17.5
2010-07-14,15.1515
2010-07-19,-7.8947
2010-07-21,0.0
2010-07-23,7.1429
2010-07-26,0.0
2010-08-02,6.6667
2010-08-04,3.75
2010-08-05,8.4337
2010-08-06,0.0
2010-08-09,0.0
2010-08-10,-7.7778
2010-08-16,6.0241
2010-08-18,0.0
2010-08-20,0.0
2010-08-23,0.0
2010-09-03,11.5909
2010-09-13,1.833
2010-09-23,0.0
2010-10-04,0.0
2010-10-19,2.0
2010-11-01,0.9804
2010-11-29,0.9709
2010-11-30,0.0
2010-12-10,40.3846
2010-12-13,7.6923
2010-12-16,-28.57
2010-12-23,1.3980000000000001
