ticker,WB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-17,19.0588
2014-04-21,11.7089
2014-04-22,2.3889
2014-04-23,-7.5161999999999995
2014-04-24,-4.5306
2014-04-25,-6.0176
2014-04-28,-8.8496
2014-04-29,4.5117
2014-04-30,6.8852
2014-05-01,3.3742
2014-05-02,-0.9397
2014-05-05,-1.3979
2014-05-06,-5.9747
2014-05-07,-5.4927
2014-05-08,2.3932
2014-05-09,-0.6121
2014-05-12,9.2945
2014-05-13,2.7664
2014-05-14,-2.5423999999999998
2014-05-15,0.8696
2014-05-16,0.1521
2014-05-19,-1.0127
2014-05-20,-2.4552
2014-05-21,6.1877
2014-05-22,-10.8642
2014-05-23,0.1108
2014-05-27,-0.6641
2014-05-28,2.3343
2014-05-29,4.2517
2014-05-30,-3.2898
2014-06-02,-0.9179
2014-06-03,-0.1635
2014-06-04,2.5109
2014-06-05,0.9585
2014-06-06,-2.2152
2014-06-09,0.5933
2014-06-10,1.3941
2014-06-11,1.5865
2014-06-12,-1.4055
2014-06-13,1.4256
2014-06-16,0.5206
2014-06-17,7.7162
2014-06-18,2.0673
2014-06-19,-5.2285
2014-06-20,-1.1928
2014-06-23,-2.0121
2014-06-24,2.0021
2014-06-25,2.3654
2014-06-26,0.6391
2014-06-27,0.8305
2014-06-30,-0.7752
2014-07-01,4.3457
2014-07-02,2.9481
2014-07-03,-4.3636
2014-07-07,-5.3232
2014-07-08,-4.9197
2014-07-09,3.2207
2014-07-10,-1.3811
2014-07-11,0.1037
2014-07-14,-0.2591
2014-07-15,-0.7792
2014-07-16,-0.3665
2014-07-17,-0.6306
2014-07-18,0.6875
2014-07-21,0.6303
2014-07-22,1.8267
2014-07-23,-0.9739
2014-07-24,1.6562999999999999
2014-07-25,2.6477
2014-07-28,-2.8274
2014-07-29,-0.1531
2014-07-30,4.3456
2014-07-31,-4.1646
2014-08-01,-2.6585
2014-08-04,3.0987
2014-08-05,-0.7641
2014-08-06,-1.4374
2014-08-07,0.2083
2014-08-08,1.5072999999999999
2014-08-11,2.4066
2014-08-12,0.45
2014-08-13,1.1448
2014-08-14,5.6102
2014-08-15,-7.0363
2014-08-18,0.2506
2014-08-19,-1.7
2014-08-20,-1.5259
2014-08-21,0.8264
2014-08-22,-0.5123
2014-08-25,-0.206
2014-08-26,0.7224
2014-08-27,-0.7172
2014-08-28,0.6192
2014-08-29,2.1538
2014-09-02,0.4016
2014-09-03,-0.55
2014-09-04,2.3127
2014-09-05,-2.6536
