ticker,JOEY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-06,366.6667
2013-06-21,0.0
2013-06-24,114.2857
2013-06-28,566.6667
2013-09-30,102.0
2013-10-04,197.0297
2013-10-28,-75.0
2013-11-11,33.3333
2013-11-14,-10.0
2013-11-18,-16.6667
2013-11-21,-33.3333
2013-12-06,60.0
2013-12-23,-50.0
2013-12-24,0.0
2013-12-26,-5.0
2014-01-06,84.2105
2014-01-07,-42.8571
2014-01-27,50.0
2014-01-31,0.0
2014-02-05,0.0
2014-02-12,66.6667
2014-02-13,10.0
2014-02-14,9.0909
2014-02-21,0.0
2014-02-27,0.0
2014-03-19,-37.5
2014-03-20,113.3333
2014-04-14,-9.375
2014-04-16,-6.8966
2014-05-08,22.2222
2014-05-13,-9.0909
2014-05-15,0.0
2014-05-23,-13.3333
2014-06-11,0.0
2014-06-13,-6.9231
2014-06-17,0.0
2014-07-09,15.7025
2014-07-14,0.0
2014-07-18,-7.1429
2014-09-10,-29.2308
2014-09-11,-29.3478
2014-09-15,-21.5385
2014-09-22,0.0
2014-09-24,0.0
2014-09-26,0.0
2014-09-29,-19.6078
2014-09-30,2.439
2014-10-01,-10.7143
2014-10-02,-33.3333
2014-10-03,-32.0
2014-10-06,32.3529
2014-10-07,2.2222
2014-10-08,0.0
2014-10-09,-8.6957
2014-10-10,0.0
2014-10-13,9.5238
2014-10-14,-28.2609
2014-10-15,0.0
2014-10-16,0.0
2014-10-17,21.2121
2014-10-21,-25.0
2014-10-22,0.0
2014-10-23,0.0
2014-10-27,-20.0
2014-10-28,66.6667
2014-10-29,-21.25
2014-10-31,-36.5079
2014-11-03,0.0
2014-11-05,0.0
2014-11-06,50.0
2014-11-07,40.0
2014-11-10,14.2857
2014-11-11,4.1667
2014-11-12,4.0
2014-11-13,11.538499999999999
2014-11-14,-10.3448
2014-11-17,0.0
2014-11-18,-38.4615
2014-11-19,37.5
2014-11-20,4.5455
2014-11-21,8.6957
2014-12-01,-4.0
2014-12-03,0.0
2014-12-05,-33.3333
2014-12-08,37.5
2014-12-11,4.5455
2014-12-15,-21.7391
2014-12-19,-11.1111
2014-12-23,12.5
2014-12-26,2.7778
2014-12-29,0.0
2014-12-30,-8.1081
2015-01-02,5.8824
2015-01-05,0.0
2015-01-07,0.0
2015-01-08,5.5556
2015-01-09,5.2632
2015-01-12,0.0
2015-01-14,-15.0
2015-01-16,8.5294
2015-01-20,2.439
2015-01-21,-20.634900000000002
2015-01-22,20.0
2015-01-23,22.2222
