ticker,XCOMQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-12,0.0
2015-11-13,0.0
2015-11-16,2.8
2015-11-17,1.3618999999999999
2015-11-18,3.8388
2015-11-19,2.7725999999999997
2015-11-20,-0.5396
2015-11-23,-4.7016
2015-11-24,4.1746
2015-11-25,2.9144
2015-11-27,-1.9468999999999999
2015-11-30,-2.3466
2015-12-01,-1.4787
2015-12-02,0.5629
2015-12-03,-1.1194
2015-12-04,-4.9056999999999995
2015-12-07,-0.7937
2015-12-08,0.8
2015-12-09,-0.5952
2015-12-10,2.3952
2015-12-11,-2.1442
2015-12-14,0.3984
2015-12-15,-7.5397
2015-12-16,3.4335
2015-12-17,-4.5669
2015-12-18,-4.5626
2015-12-21,-4.328
2015-12-22,0.9524
2015-12-23,-1.6509
2015-12-24,-0.2398
2015-12-28,2.6442
2015-12-29,-0.4684
2015-12-30,-0.9412
2015-12-31,6.8884
2016-01-04,1.1111
2016-01-05,-2.6374
2016-01-06,-1.1287
2016-01-07,-5.0228
2016-01-08,-0.4808
2016-01-11,2.4154999999999998
2016-01-12,-5.8962
2016-01-13,-3.4962
2016-01-14,4.9214
2016-01-15,-4.4554
2016-01-19,-4.6632
2016-01-20,-3.5326
2016-01-21,0.5634
2016-01-22,-4.4818
2016-01-25,-8.2111
2016-01-26,5.1118
2016-01-27,7.9027
2016-01-28,-3.3803
2016-01-29,18.0758
2016-02-01,-4.5772
2016-02-02,-1.4135
2016-02-03,7.6115
2016-02-04,-24.3902
2016-02-05,4.5161
2016-02-08,2.1605
2016-02-09,1.8127
2016-02-10,-5.638
2016-02-11,-5.3459
2016-02-12,-0.3322
2016-02-16,1.3333
2016-02-17,4.9342
2016-02-18,0.0
2016-02-19,5.0157
2016-02-22,-3.2836
2016-02-23,3.3951000000000002
2016-02-24,-2.0896
2016-02-25,1.8293
2016-02-26,-2.6946
2016-02-29,-15.0769
2016-03-01,9.4203
2016-03-02,-0.3311
2016-03-03,9.9626
2016-03-04,-3.3196
2016-03-07,-4.0625
2016-03-08,6.8404
2016-03-09,1.2195
2016-03-10,1.506
2016-03-11,-0.8902
2016-03-14,-4.491
2016-03-15,0.3135
2016-03-16,-11.5625
2016-03-17,5.3004
2016-03-18,-7.7181
2016-03-21,0.3636
2016-03-22,2.5362
2016-03-23,-0.3578
2016-03-24,2.4868
2016-03-28,2.0761
2016-03-29,-1.3559
2016-03-30,3.0928
2016-03-31,-5.3333
2016-04-01,1.7606000000000002
2016-04-04,0.0
