ticker,FWP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-15,-16.6667
2014-10-16,8.5714
2014-10-17,5.2105
2014-10-20,0.7004
2014-10-21,-0.9439
2014-10-22,-4.012
2014-10-23,4.4932
2014-10-24,1.05
2014-10-27,-0.4948
2014-10-28,-1.094
2014-10-29,6.0835
2014-10-30,-1.6588
2014-10-31,4.5301
2014-11-03,-4.8870000000000005
2014-11-04,3.3931
2014-11-05,-1.5939999999999999
2014-11-06,0.0476
2014-11-07,0.2381
2014-11-10,10.2613
2014-11-11,-0.991
2014-11-12,-2.0888
2014-11-13,-2.2222
2014-11-14,1.7727
2014-11-17,-2.9924
2014-11-18,-2.6703
2014-11-19,-1.2772000000000001
2014-11-20,-1.5333
2014-11-21,-0.8759
2014-11-24,-1.7673
2014-11-25,-0.5497
2014-11-26,0.5025
2014-11-28,-0.3
2014-12-01,-2.2568
2014-12-02,0.4105
2014-12-03,6.2851
2014-12-04,-0.3365
2014-12-05,-1.5918999999999999
2014-12-08,-0.8333
2014-12-09,-2.1256
2014-12-10,2.7273
2014-12-11,-2.1141
2014-12-12,0.3014
2014-12-15,1.4522
2014-12-16,1.5795
2014-12-17,1.5063
2014-12-18,-1.1967
2014-12-19,3.6822
2014-12-22,-1.8692
2014-12-23,-3.3333
2014-12-24,-0.8374
2014-12-26,5.3154
2014-12-29,-1.4623
2014-12-30,0.1436
2014-12-31,-0.4302
2015-01-02,0.7681
2015-01-05,7.1939
2015-01-06,-5.5111
2015-01-07,4.1863
2015-01-08,-2.167
2015-01-09,-4.1994
2015-01-12,1.1561
2015-01-13,-0.0476
2015-01-14,-0.5241
2015-01-15,0.0479
2015-01-16,-1.0531
2015-01-20,8.7567
2015-01-21,-4.6708
2015-01-22,2.1465
2015-01-23,-0.3198
2015-01-26,12.2823
2015-01-27,-2.6526
2015-01-28,1.3831
2015-01-29,1.3234
2015-01-30,0.6939
2015-02-02,0.6891
2015-02-03,-3.3816
2015-02-04,-1.375
2015-02-05,-1.5632000000000001
2015-02-06,-0.9871
2015-02-09,-2.384
2015-02-10,0.1332
2015-02-11,0.3991
2015-02-12,0.4638
2015-02-13,-0.3737
2015-02-17,2.3830999999999998
2015-02-18,2.3707
2015-02-19,0.6316
2015-02-20,-1.2971
2015-02-23,0.7206
2015-02-24,-0.0421
2015-02-25,-3.3684
2015-02-26,1.3942999999999999
2015-02-27,0.043
2015-03-02,-0.6443
2015-03-03,0.4756
2015-03-04,-0.3442
2015-03-05,-0.9931
