ticker,SXC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-07-21,6.25
2011-07-22,2.6471
2011-07-25,1.1461000000000001
2011-07-26,-0.7932
2011-07-27,-2.5128
2011-07-28,-0.4101
2011-07-29,0.7647
2011-08-01,0.9924
2011-08-02,-2.8902
2011-08-03,0.5952
2011-08-04,-8.8757
2011-08-05,-3.4416
2011-08-08,-15.0639
2011-08-09,-1.346
2011-08-10,-6.0995
2011-08-11,7.0085
2011-08-12,11.7412
2011-08-15,7.7198
2011-08-16,-1.1944
2011-08-17,-0.5373
2011-08-18,-3.5111
2011-08-19,-2.4493
2011-08-22,0.2152
2011-08-23,0.0716
2011-08-24,-1.0014
2011-08-25,-0.2168
2011-08-26,0.6517
2011-08-29,2.7338
2011-08-30,-2.0308
2011-08-31,1.2152
2011-09-01,-1.2711999999999999
2011-09-02,-2.9328
2011-09-06,4.4952
2011-09-07,-1.2694
2011-09-08,-1.2857
2011-09-09,1.013
2011-09-12,-1.5043
2011-09-13,0.5818
2011-09-14,-0.7954
2011-09-15,0.8746
2011-09-16,0.5058
2011-09-19,0.7908
2011-09-20,-1.8545
2011-09-21,-5.4506
2011-09-22,-4.9193
2011-09-23,-4.9313
2011-09-26,-2.466
2011-09-27,4.0105
2011-09-28,0.0
2011-09-29,-3.1014
2011-09-30,-4.8443000000000005
2011-10-03,-10.0
2011-10-04,2.3232
2011-10-05,5.0346
2011-10-06,-1.4098
2011-10-07,-6.959
2011-10-10,2.6639
2011-10-11,2.3952
2011-10-12,2.3392
2011-10-13,8.4762
2011-10-14,2.0193
2011-10-17,-1.8072
2011-10-18,0.5259
2011-10-19,-2.7899000000000003
2011-10-20,-1.704
2011-10-21,6.7518
2011-10-24,0.4274
2011-10-25,-2.8085
2011-10-26,2.014
2011-10-27,9.5279
2011-10-28,1.5674000000000001
2011-10-31,-2.6235
2011-11-01,-6.5769
2011-11-02,2.4596999999999998
2011-11-03,-0.6623
2011-11-04,0.25
2011-11-07,-1.995
2011-11-08,3.3079
2011-11-09,-9.0312
2011-11-10,0.361
2011-11-11,4.5863
2011-11-14,-5.417
2011-11-15,-0.7273
2011-11-16,-4.304
2011-11-17,1.244
2011-11-18,-0.5671
2011-11-21,0.3802
2011-11-22,5.8712
2011-11-23,-1.6995
2011-11-25,-3.8217
2011-11-28,9.1769
2011-11-29,-1.0399
2011-11-30,1.0508
2011-12-01,-5.1127
2011-12-02,-2.1005
2011-12-05,-0.2799
2011-12-06,-0.9355
2011-12-07,3.3994
