ticker,HCYT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-02-03,0.9524
2015-02-04,0.3774
2015-02-05,-1.3181
2015-02-06,-2.8548
2015-02-09,-2.549
2015-02-10,-1.8913
2015-02-11,0.2871
2015-02-12,-3.8855
2015-02-13,4.0426
2015-02-17,0.2045
2015-02-18,1.0204
2015-02-19,-4.0404
2015-02-23,-5.2632
2015-02-24,8.8861
2015-02-25,-1.0179
2015-02-26,0.4124
2015-02-27,-7.595
2015-03-02,-0.0028
2015-03-03,2.2222
2015-03-04,0.8696
2015-03-05,-3.0145
2015-03-06,-2.2249
2015-03-09,0.0
2015-03-10,13.179
2015-03-11,-0.8007
2015-03-12,-1.0121
2015-03-13,-3.8855
2015-03-16,2.1277
2015-03-17,-0.2083
2015-03-18,1.8789
2015-03-19,0.4098
2015-03-20,1.0204
2015-03-23,-5.0505
2015-03-24,-10.2128
2015-03-25,6.6350999999999996
2015-03-26,-0.2222
2015-03-27,-4.2316
2015-03-30,-1.1628
2015-03-31,-4.7059
2015-04-01,2.4691
2015-04-02,6.0241
2015-04-06,5.0
2015-04-07,4.7619
2015-04-08,-2.4793
2015-04-09,10.1695
2015-04-10,-4.6154
2015-04-13,-9.2742
2015-04-14,-4.6667
2015-04-15,3.7296
2015-04-16,0.0
2015-04-17,-5.618
2015-04-20,-2.6189999999999998
2015-04-21,4.3521
2015-04-22,-5.8107
2015-04-23,-1.7412999999999998
2015-04-24,1.2658
2015-04-27,6.0
2015-04-28,-8.9623
2015-04-29,12.1762
2015-04-30,-5.7737
2015-05-01,-6.8627
2015-05-04,3.1579
2015-05-05,2.0408
2015-05-06,-6.25
2015-05-07,2.4
2015-05-08,-5.9896
2015-05-11,-3.0471
2015-05-12,0.4
2015-05-13,-0.1138
2015-05-14,-5.4131
2015-05-15,12.3494
2015-05-18,4.5576
2015-05-19,-0.2564
2015-05-20,-3.6022
2015-05-21,-2.9301
2015-05-22,1.6484
2015-05-26,-2.7027
2015-05-27,0.5556
2015-05-28,0.0
2015-05-29,2.2099
2015-06-01,2.4324
2015-06-02,-1.847
2015-06-03,-2.4194
2015-06-04,-2.8926
2015-06-05,-1.5603
2015-06-08,2.5937
2015-06-09,7.3034
2015-06-10,-0.5236
2015-06-11,0.2632
2015-06-12,2.3622
2015-06-15,0.2564
2015-06-16,-1.7903
2015-06-17,2.8646000000000003
2015-06-18,3.038
2015-06-19,-5.4054
2015-06-22,0.2597
2015-06-23,-4.4041
2015-06-24,-1.626
