ticker,DSVTF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-21,-4.5772
2010-12-22,-2.439
2010-12-23,8.6111
2011-01-05,10.844
2011-02-09,-8.3987
2011-02-14,8.8161
2011-02-17,5.5556
2011-02-23,-0.7018
2011-03-23,-2.4735
2011-03-24,2.7174
2011-05-05,-39.8589
2011-05-10,10.2639
2011-05-17,-12.234
2011-08-05,-19.7727
2011-09-01,0.6138
2011-11-04,-17.4097
2011-12-14,-11.0227
2011-12-30,2.1711
2012-01-19,36.0
2012-02-02,17.647100000000002
2012-02-22,3.125
2012-02-27,6.0606
2012-03-30,-5.8214
2012-07-12,37.1255
2012-07-17,-8.4071
2012-08-10,9.1787
2012-11-16,-23.8938
2013-01-11,-1.3445
2013-01-23,-8.6556
2013-01-30,-3.871
2013-02-13,-1.552
2013-04-17,2.2582
2013-04-25,10.0
2013-05-31,-22.3485
2013-06-19,29.561
2013-12-16,-38.5542
2014-02-20,-9.8039
2014-02-27,-35.8696
2014-04-22,52.5424
2014-12-15,-30.9028
2015-03-26,-17.9899
2015-09-02,-28.4314
2015-12-28,-15.0685
2016-05-02,4.2339
2016-11-08,-45.8414
2016-11-18,14.2857
2016-12-15,0.9375
2017-02-10,38.0805
2017-03-21,-53.3632
2017-05-01,165.3846
2017-05-18,31.3406
2017-05-23,-0.6897
2017-07-21,46.6667
2017-11-09,-60.6061
2018-04-25,104.2308
2018-05-15,33.3333
2018-07-11,-39.6893
2018-12-06,-52.9274
