ticker,PRK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.0417
2000-01-04,0.6443
2000-01-05,0.8963
2000-01-06,0.7614
2000-01-07,0.7557
2000-01-10,0.0
2000-01-11,-0.5
2000-01-12,1.5074999999999998
2000-01-13,-1.9802
2000-01-14,1.7677
2000-01-18,0.1241
2000-01-19,2.974
2000-01-20,-1.3237
2000-01-21,-4.878
2000-01-24,-1.5385
2000-01-25,1.0417
2000-01-26,-0.5155
2000-01-27,-2.5907
2000-01-28,-1.5957
2000-01-31,3.9189
2000-02-01,-2.0806
2000-02-02,-1.328
2000-02-03,0.6729
2000-02-04,4.8128
2000-02-07,-0.0638
2000-02-08,4.6586
2000-02-09,-1.9512
2000-02-10,-0.995
2000-02-11,-0.5025
2000-02-14,0.0
2000-02-15,-1.5152
2000-02-16,1.5641
2000-02-17,-0.3812
2000-02-18,0.0
2000-02-22,-2.8061
2000-02-23,-0.2625
2000-02-24,0.2632
2000-02-25,-1.0499
2000-02-28,-0.3316
2000-02-29,4.3247
2000-03-01,1.0204
2000-03-02,-2.9672
2000-03-03,3.0579
2000-03-06,-3.0303
2000-03-07,0.2604
2000-03-08,-1.5584
2000-03-09,-0.2639
2000-03-10,3.7037
2000-03-13,0.1276
2000-03-14,1.4013
2000-03-15,-1.0678
2000-03-16,-0.4444
2000-03-17,-2.0408
2000-03-20,-1.0417
2000-03-21,4.7368
2000-03-22,-0.8166
2000-03-23,-0.4433
2000-03-24,-0.9542
2000-03-27,-0.0642
2000-03-28,-0.5141
2000-03-29,-0.7752
2000-03-30,-0.8464
2000-03-31,-7.5509
2000-04-03,2.2727
2000-04-04,-1.5972
2000-04-05,1.976
2000-04-06,1.7301
2000-04-07,2.585
2000-04-10,-0.2653
2000-04-11,1.0638
2000-04-12,-0.1316
2000-04-13,-0.3953
2000-04-14,0.0
2000-04-17,0.5952
2000-04-18,-3.3531
2000-04-19,0.068
2000-04-20,-2.0394
2000-04-24,-0.347
2000-04-25,0.8357
2000-04-26,-1.6575
2000-04-27,1.0534
2000-04-28,1.4593
2000-05-01,4.1096
2000-05-02,-0.7895
2000-05-03,-0.8621
2000-05-04,-2.6087
2000-05-05,1.3736
2000-05-08,-2.2358000000000002
2000-05-09,-0.5544
2000-05-10,-1.8117999999999999
2000-05-11,-0.071
2000-05-12,1.1364
2000-05-15,-4.7753
2000-05-16,2.6549
2000-05-17,3.8075
2000-05-18,0.692
2000-05-19,-3.299
2000-05-22,-5.6148
2000-05-23,1.2048
