ticker,XIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-12,20.0
2007-12-13,-0.8929
2007-12-14,-7.5075
2007-12-17,-11.2987
2007-12-18,-1.9034
2007-12-19,-5.2239
2007-12-20,11.0236
2007-12-21,2.1277
2007-12-24,2.0139
2007-12-26,-3.1314
2007-12-27,-3.3731999999999998
2007-12-28,4.0
2007-12-31,-0.4895
2008-01-02,-0.8433
2008-01-03,0.3544
2008-01-04,-4.661
2008-01-07,-0.3704
2008-01-08,-1.1152
2008-01-09,-4.2857
2008-01-10,-4.5562000000000005
2008-01-11,-6.1739
2008-01-14,-6.1393
2008-01-15,-13.0841
2008-01-16,6.4503
2008-01-17,-8.5847
2008-01-18,-3.2044
2008-01-22,-5.1370000000000005
2008-01-23,8.5439
2008-01-24,4.102
2008-01-25,10.2236
2008-01-28,10.628
2008-01-29,10.8297
2008-01-30,3.2309
2008-01-31,-1.145
2008-02-01,5.4054
2008-02-04,-3.8104
2008-02-05,-4.7973
2008-02-06,-0.8
2008-02-07,3.3871
2008-02-08,1.4041000000000001
2008-02-11,-0.3837
2008-02-12,0.3851
2008-02-13,2.2308
2008-02-14,-2.2573
2008-02-15,-8.776
2008-02-19,-3.7975
2008-02-20,-3.5965
2008-02-21,3.7307
2008-02-22,8.3333
2008-02-25,0.0
2008-02-26,-3.9676
2008-02-27,1.7707000000000002
2008-02-28,0.3314
2008-02-29,1.569
2008-03-03,-5.2846
2008-03-04,-23.5193
2008-03-05,-7.9686
2008-03-06,7.9268
2008-03-07,12.089
2008-03-10,-14.5151
2008-03-11,-0.9434
2008-03-12,-0.7158
2008-03-13,-3.4758
2008-03-14,0.7438
2008-03-17,-13.0689
2008-03-18,-0.4255
2008-03-19,-7.4074
2008-03-20,6.9231
2008-03-24,2.7338
2008-03-25,-3.5014
2008-03-26,-3.4833
2008-03-27,8.2707
2008-03-28,7.6389
2008-03-31,8.2581
2008-04-01,0.7151
2008-04-02,6.5089
2008-04-03,10.0
2008-04-04,10.101
2008-04-07,-1.6514
2008-04-08,-4.3843
2008-04-09,-1.561
2008-04-10,1.7839
2008-04-11,-6.6212
2008-04-14,-8.6548
2008-04-15,-0.1156
2008-04-16,8.8016
2008-04-17,6.1975
2008-04-18,-1.088
2008-04-21,-6.8
2008-04-22,-0.2146
2008-04-23,0.5376
2008-04-24,-1.3904
2008-04-25,-2.3861
2008-04-28,-1.4444
2008-04-29,-1.9165999999999999
2008-04-30,3.7931
2008-05-01,0.3987
2008-05-02,-2.0516
