ticker,ONOV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-07-26,4.3478
2011-07-27,0.0
2011-08-04,4.1667
2011-08-08,-4.0
2011-08-09,4.1667
2011-08-23,0.0
2011-08-30,-13.6
2011-08-31,-34.2593
2011-09-01,4.2254
2011-09-02,0.0
2011-09-06,0.0
2011-09-07,2.7027
2011-09-08,1.3158
2011-09-15,-11.6883
2011-09-19,2.9412000000000003
2011-09-20,1.4285999999999999
2011-09-21,1.4085
2011-09-22,-5.5556
2011-09-23,-5.8824
2011-09-26,4.6875
2011-09-28,7.4627
2011-09-29,1.3889
2011-09-30,1.3699
2011-10-03,1.3514
2011-10-04,0.0
2011-10-05,-4.0
2011-10-07,-30.5556
2011-10-10,2.0
2011-10-11,-80.3922
2011-10-12,590.0
2011-10-14,-36.2319
2011-10-17,-77.2727
2011-10-18,340.0
2011-10-27,-6.8182
2011-10-28,-2.439
2011-10-31,0.0
2011-11-01,0.0
2011-11-02,0.0
2011-11-03,-25.0
2011-11-04,-50.0
2011-11-07,33.3333
2011-11-08,-5.0
2011-11-09,0.0
2011-11-10,-21.0526
2011-11-15,20.0
2011-11-18,-72.2222
2011-11-21,-66.0
2011-11-22,-35.2941
2011-11-23,-7.9545
2011-11-25,28.3951
2011-11-28,-7.6923
2011-11-29,1.0417
2011-11-30,23.7113
2011-12-01,26.6667
2011-12-06,-5.2632
2011-12-07,94.4444
2011-12-08,68.5714
2011-12-09,35.5932
2011-12-12,87.5
2011-12-13,-36.6667
2011-12-14,-47.3684
2011-12-15,40.0
2011-12-16,-42.6786
2011-12-19,-25.2336
2011-12-20,66.6667
2011-12-21,0.0
2011-12-22,-20.0
2011-12-23,0.0
2011-12-27,-25.0
2011-12-28,-16.6667
2011-12-29,0.0
2011-12-30,-20.0
2012-01-03,25.0
2012-01-04,0.0
2012-01-05,20.0
2012-01-06,-33.3333
2012-01-09,50.0
2012-01-11,-33.3333
2012-01-12,-25.0
2012-01-13,-13.3333
2012-01-17,15.3846
2012-01-18,33.3333
2012-01-19,-45.0
2012-01-23,-27.2727
2012-01-24,50.0
2012-01-30,-25.0
2012-02-01,-11.1111
2012-02-02,0.0
2012-02-06,0.0
2012-02-07,-12.5
2012-02-09,0.0
2012-02-10,42.8571
2012-02-21,-28.75
2012-02-22,40.3509
2012-02-24,-20.0
2012-03-02,-12.5
2012-03-05,-28.5714
2012-03-06,-20.0
2012-03-07,-12.5
2012-03-08,0.0
2012-03-13,614.2857
2012-03-14,-20.0
