ticker,WNWG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-06-08,3150.0
2005-07-18,-61.5385
2005-07-26,166.6667
2005-08-03,-37.5
2005-08-09,-8.0
2005-08-10,-2.6087
2005-08-11,3.5714
2005-08-12,0.0
2005-08-15,-0.8621
2005-08-17,2.6087
2005-08-18,-3.3898
2005-08-22,2.6316
2005-08-23,-4.2735
2005-08-24,3.5714
2005-08-25,-9.4828
2005-08-26,11.4286
2005-08-29,0.8547
2005-08-30,1.6949
2005-08-31,4.1667
2005-09-01,2.4
2005-09-02,1.5625
2005-09-06,-0.7692
2005-09-07,-3.1008
2005-09-08,5.6
2005-09-09,0.3788
2005-09-12,-2.6414999999999997
2005-09-13,-3.876
2005-09-14,-3.2258
2005-09-15,2.5
2005-09-16,-3.252
2005-09-19,1.6806999999999999
2005-09-20,-8.2645
2005-09-21,-0.9009
2005-09-22,-13.6364
2005-09-23,-1.0526
2005-09-26,1.0638
2005-09-27,-14.7368
2005-09-28,-7.4074
2005-09-29,4.0
2005-09-30,-3.8462
2005-10-03,-20.0
2005-10-04,16.6667
2005-10-05,-14.2857
2005-10-06,23.3333
2005-10-07,-5.4054
2005-10-10,-7.1429
2005-10-11,7.6923
2005-10-12,-7.1429
2005-10-13,7.6923
2005-10-14,7.1429
2005-10-18,0.0
2005-10-19,0.0
2005-10-20,-6.6667
2005-10-21,4.2857
2005-10-24,-10.9589
2005-10-25,-6.1538
2005-10-26,6.5574
2005-10-27,6.1538
2005-10-28,1.4493
2005-10-31,2.8571
2005-11-01,1.3889
2005-11-02,-4.1096
2005-11-03,14.2857
2005-11-04,48.125
2005-11-07,0.4219
2005-11-08,-22.6891
2005-11-09,6.5217
2005-11-10,17.3469
2005-11-11,-4.3478
2005-11-14,-8.1818
2005-11-15,-5.9406
2005-11-16,-2.1053
2005-11-17,7.5269
2005-11-18,-1.0
2005-11-21,-12.1212
2005-11-22,-1.1494
2005-11-23,-5.814
2005-11-25,4.9383
2005-11-28,3.5294
2005-11-29,-5.6818
2005-11-30,-15.6627
2005-12-01,4.2857
2005-12-02,-16.4384
2005-12-05,10.6557
2005-12-06,18.5185
2005-12-07,-8.75
2005-12-08,-4.1096
2005-12-09,2.8571
2005-12-12,-11.1111
2005-12-13,-3.125
2005-12-14,0.0
2005-12-15,4.8387
2005-12-16,-15.3846
2005-12-19,16.3636
2005-12-20,-4.6875
2005-12-21,-3.2787
2005-12-22,-1.6949
2005-12-23,-8.6207
2005-12-27,0.0
