ticker,LAKF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-09,300.0
2019-08-08,150.0
2019-10-30,-36.0
2020-01-14,-29.6875
2020-01-24,122.2267
