ticker,PT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-25,5.1347
2018-10-26,-2.3219
2018-10-29,-2.623
2018-10-30,0.0
2018-10-31,-0.6734
2018-11-01,-0.4025
2018-11-02,-0.8722
2018-11-06,-0.1622
2018-11-07,-9.7411
2018-11-08,4.7809
2018-11-09,6.3636
2018-11-13,-5.9829
2018-11-14,0.0
2018-11-15,6.3636
2018-11-16,-5.5556
2018-11-20,5.6109
2018-11-21,1.7995
2018-11-26,-1.431
2018-11-27,-5.0384
2018-11-28,0.0899
2018-12-04,-0.6289
2018-12-06,-0.2712
2018-12-07,0.0
2018-12-10,-6.6183
2018-12-12,10.1942
2018-12-13,-3.0837
2018-12-14,0.0
2018-12-17,0.9091
2018-12-18,-0.9009
2018-12-19,0.0
2018-12-20,-3.6364
2018-12-21,-4.717
2018-12-27,3.9604
2018-12-28,-11.0476
2018-12-31,12.1445
2019-01-02,-4.0509
2019-01-03,0.2488
2019-01-04,0.2581
2019-01-08,6.9201
2019-01-09,-0.9259
2019-01-10,0.0
2019-01-11,1.4019
2019-01-14,0.0
2019-01-15,0.0922
2019-01-16,1.2891
2019-01-17,0.0
2019-01-18,0.0
2019-01-22,0.0
2019-01-23,-0.2718
2019-01-24,0.2726
2019-01-25,-0.0909
2019-01-28,-0.3876
2019-01-29,0.1927
2019-01-31,0.2863
2019-02-01,-4.5446
2019-02-04,0.0962
2019-02-05,5.1370000000000005
2019-02-06,-0.2941
2019-02-07,-0.1588
2019-02-08,0.0
2019-02-11,-0.7682
2019-02-12,0.6367
2019-02-13,0.1365
2019-02-14,-0.1818
2019-02-15,-0.7286
2019-02-19,-4.5872
2019-02-20,-7.5962
2019-02-21,5.5151
2019-02-22,2.5631
2019-02-25,3.9443
2019-02-26,-0.0934
2019-02-27,0.7407
2019-02-28,0.7123
2019-03-01,0.3267
2019-03-04,0.07
2019-03-05,-0.0091
2019-03-06,-0.0909
2019-03-07,0.273
2019-03-08,2.0871
2019-03-11,-5.7778
2019-03-12,4.8651
2019-03-13,2.1096
2019-03-14,0.8793
2019-03-15,1.3092
2019-03-18,2.1655
2019-03-19,1.1299
2019-03-20,0.5423
2019-03-21,1.4846
2019-03-22,-1.4628999999999999
2019-03-25,2.0747
2019-03-26,1.7073
2019-03-27,2.2782
2019-03-28,1.1333
2019-03-29,-0.4637
2019-04-01,-6.9876000000000005
2019-04-02,-6.3439
2019-04-03,2.9412000000000003
2019-04-04,-0.6926
2019-04-05,3.4002
