ticker,GNK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-16,1.1905000000000001
2014-07-17,1.1764999999999999
2014-07-21,0.0
2014-07-22,-0.2326
2014-07-23,0.0
2014-07-25,-0.6993
2014-07-28,0.0
2014-07-29,0.939
2014-07-30,-0.9302
2014-07-31,0.939
2014-08-04,0.0
2014-08-05,0.0
2014-08-07,0.0
2014-08-08,0.0
2014-08-12,-4.6512
2014-08-13,4.878
2014-08-18,-2.3256
2014-08-20,2.3810000000000002
2014-08-21,0.0
2014-08-25,0.0
2014-08-27,-0.9302
2014-08-29,-1.4085
2014-09-02,0.2381
2014-09-03,1.1876
2014-09-04,0.939
2014-09-08,-0.9302
2014-09-09,-1.4085
2014-09-11,0.4762
2014-09-12,-0.4739
2014-09-15,0.4762
2014-09-17,-0.237
2014-09-18,-0.2375
2014-09-22,0.0
2014-09-23,-2.1429
2014-09-26,-0.2433
2014-09-29,-2.439
2014-09-30,0.0
2014-10-01,-3.75
2014-10-02,-3.8961
2014-10-03,-4.0541
2014-10-13,-1.3521
2014-10-14,-0.0571
2014-10-15,-14.2857
2014-10-16,0.0
2014-10-23,3.3333
2014-10-24,0.3226
2014-10-27,-0.3215
2014-10-28,-0.3226
2014-10-30,1.2945
2014-11-05,0.9585
2014-11-06,2.8481
2014-11-07,-4.0
2014-11-10,1.2821
2014-11-11,0.0
2014-11-12,0.0
2014-11-13,-0.6329
2014-11-14,0.0
2014-11-19,-0.6369
2014-11-20,0.0
2014-11-24,-1.2821
2014-11-26,-0.6494
2014-12-01,0.1307
2014-12-02,-2.0888
2014-12-03,-0.6667
2014-12-04,-1.0067
2014-12-05,-1.3559
2014-12-08,-1.0309
2014-12-09,-1.0417
2014-12-11,-1.7544
2014-12-12,0.0
2014-12-15,-1.0714
2014-12-17,-4.3321
2014-12-18,0.0
2014-12-19,-1.8868
2014-12-22,-1.1538
2014-12-24,0.0
2014-12-26,0.0
2014-12-30,1.1673
2014-12-31,3.8462
2015-01-05,-2.2222
2015-01-06,-3.0303
2015-01-07,0.0
2015-01-08,-0.3906
2015-01-09,0.0
2015-01-13,0.0
2015-01-14,-0.3922
2015-01-15,-0.7874
2015-01-16,0.0
2015-01-21,-0.7937
2015-01-22,-0.8
2015-01-26,-0.6452
2015-01-28,-2.5974
2015-01-29,-2.0833
2015-01-30,-1.2766
2015-02-03,0.0
2015-02-05,-2.5862
2015-02-06,-0.4425
2015-02-09,0.0
2015-02-11,-2.2222
2015-02-13,-3.6364
