ticker,ARTH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-20,494.0594
2013-05-30,-1.0
2013-06-05,0.0
2013-06-06,11.1111
2013-06-07,31.6667
2013-06-10,26.5823
2013-06-11,-15.0
2013-06-12,11.7647
2013-06-13,-10.526299999999999
2013-06-14,1.1764999999999999
2013-06-17,-10.4651
2013-06-18,-2.5974
2013-06-19,12.0
2013-06-20,5.3571
2013-06-21,2.2599
2013-06-24,0.0
2013-06-25,-0.5525
2013-06-26,-2.2222
2013-06-27,-3.4091
2013-06-28,1.1764999999999999
2013-07-01,-2.907
2013-07-02,-5.9879999999999995
2013-07-03,10.828
2013-07-05,4.5977
2013-07-08,36.2637
2013-07-09,4.8387
2013-07-10,-2.3077
2013-07-11,-2.3622
2013-07-12,-15.3226
2013-07-15,-30.0
2013-07-16,-2.9932
2013-07-17,-22.8612
2013-07-18,-18.1818
2013-07-19,6.2222
2013-07-22,4.6025
2013-07-23,6.0
2013-07-24,5.6604
2013-07-25,21.4286
2013-07-26,-14.7059
2013-07-29,5.1724
2013-07-30,-9.6516
2013-07-31,-9.2765
2013-08-01,1.6
2013-08-02,2.3622
2013-08-05,1.9231
2013-08-06,6.0377
2013-08-07,-5.694
2013-08-08,0.0
2013-08-09,-5.6604
2013-08-12,-7.0
2013-08-13,-18.2796
2013-08-14,25.5263
2013-08-15,-3.5639
2013-08-16,9.7554
2013-08-19,-18.7918
2013-08-20,-7.3171
2013-08-21,9.2105
2013-08-22,-3.6446
2013-08-23,-4.9703
2013-08-26,1.3158
2013-08-27,-3.8961
2013-08-28,-1.0811
2013-08-29,5.1913
2013-08-30,2.3377
2013-09-03,6.3452
2013-09-04,-2.148
2013-09-05,-1.2195
2013-09-06,-3.7037
2013-09-09,2.5641
2013-09-10,0.0
2013-09-11,0.0
2013-09-12,-4.25
2013-09-13,4.406
2013-09-16,3.0322
2013-09-17,-11.4078
2013-09-18,1.3699
2013-09-19,2.4324
2013-09-20,-3.6939
2013-09-23,2.1918
2013-09-24,-1.8767
2013-09-25,3.8251
2013-09-26,-3.8158
2013-09-27,-4.2066
2013-09-30,-2.8918
2013-10-01,-6.1765
2013-10-02,-12.2257
2013-10-03,1.6071
2013-10-04,0.1757
2013-10-07,-4.5614
2013-10-08,2.9412000000000003
2013-10-09,-0.3571
2013-10-10,1.0753
2013-10-11,-1.4184
2013-10-14,7.8687000000000005
2013-10-15,-3.293
2013-10-16,-3.1034
2013-10-17,10.3203
2013-10-18,-4.8387
