ticker,BY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-30,5.5263
2017-07-03,0.2494
2017-07-05,0.4975
2017-07-06,-0.099
2017-07-07,0.446
2017-07-10,0.3947
2017-07-11,-0.4423
2017-07-12,2.9615
2017-07-13,-0.2876
2017-07-14,-0.0962
2017-07-17,0.3369
2017-07-18,1.3429
2017-07-19,-0.284
2017-07-20,-3.5596
2017-07-21,1.9685000000000001
2017-07-24,0.6274
2017-07-25,-1.4868000000000001
2017-07-26,0.2434
2017-07-27,-0.34
2017-07-28,-0.3411
2017-07-31,-1.4181
2017-08-01,-0.5456
2017-08-02,3.3915
2017-08-03,-1.3025
2017-08-04,3.2747
2017-08-07,-0.6152
2017-08-08,-2.2857
2017-08-09,-0.2924
2017-08-10,-0.9775
2017-08-11,0.2962
2017-08-14,1.8209
2017-08-15,0.435
2017-08-16,1.7806
2017-08-17,-2.2695
2017-08-18,0.3387
2017-08-21,0.4339
2017-08-22,0.24
2017-08-23,-1.9636
2017-08-24,2.6869
2017-08-25,-0.0476
2017-08-28,0.2856
2017-08-29,-0.8543
2017-08-30,1.6754
2017-08-31,-0.5179
2017-09-01,1.7511
2017-09-05,-1.4419
2017-09-06,-0.3303
2017-09-07,-0.4261
2017-09-08,1.0461
2017-09-11,-0.2353
2017-09-12,1.7452999999999999
2017-09-13,-0.1391
2017-09-14,-2.2748
2017-09-15,-4.3705
2017-09-18,1.2419
2017-09-19,1.2267000000000001
2017-09-20,1.9874
2017-09-21,0.6179
2017-09-22,-1.2282
2017-09-25,2.3434
2017-09-26,0.1869
2017-09-27,-2.0056
2017-09-28,0.3808
2017-09-29,0.8061
2017-10-02,0.047
2017-10-03,-2.4448
2017-10-04,-2.2651
2017-10-05,0.1972
2017-10-06,0.3445
2017-10-09,0.7357
2017-10-10,0.2921
2017-10-11,0.4369
2017-10-12,0.0
2017-10-13,-0.5317
2017-10-16,0.0972
2017-10-17,-0.6311
2017-10-18,0.0977
2017-10-19,0.3904
2017-10-20,0.4861
2017-10-23,-0.5322
2017-10-24,0.1946
2017-10-25,-0.0971
2017-10-26,0.4373
2017-10-27,-2.4673
2017-10-30,-1.1905000000000001
2017-10-31,0.6526
2017-11-01,-0.5985
2017-11-02,0.1505
2017-11-03,0.3507
2017-11-06,-0.4993
2017-11-07,-0.5519
2017-11-08,-1.3118
2017-11-09,-0.3579
2017-11-10,0.2052
2017-11-13,0.4608
2017-11-14,-0.3058
2017-11-15,-0.5624
2017-11-16,0.617
