ticker,RAIL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-04-06,10.6842
2005-04-07,1.379
2005-04-08,1.6417000000000002
2005-04-11,1.5228000000000002
2005-04-12,-2.5909
2005-04-13,-3.4998
2005-04-14,-4.9807
2005-04-15,-1.883
2005-04-18,1.0892
2005-04-19,5.9518
2005-04-20,0.2421
2005-04-21,2.0773
2005-04-22,-2.9815
2005-04-25,5.8537
2005-04-26,-1.0138
2005-04-27,-2.4674
2005-04-28,-6.3484
2005-04-29,-1.0703
2005-05-02,-0.5152
2005-05-03,2.2268
2005-05-04,1.6717
2005-05-05,0.7474
2005-05-06,0.4006
2005-05-09,1.6206
2005-05-10,0.5817
2005-05-11,-1.1084
2005-05-12,-3.9474
2005-05-13,-9.3861
2005-05-16,-1.7357
2005-05-17,0.4558
2005-05-18,2.3823
2005-05-19,4.1551
2005-05-20,-1.0638
2005-05-23,1.129
2005-05-24,1.7544
2005-05-25,1.8809
2005-05-26,1.1795
2005-05-27,-0.4055
2005-05-31,0.1527
2005-06-01,-0.9146
2005-06-02,-2.359
2005-06-03,0.3151
2005-06-06,-1.466
2005-06-07,-0.2657
2005-06-08,-1.5983
2005-06-09,0.3249
2005-06-10,3.5078
2005-06-13,1.877
2005-06-14,-0.2047
2005-06-15,-1.2821
2005-06-16,0.7273
2005-06-17,-0.8767
2005-06-20,4.0583
2005-06-21,1.75
2005-06-22,0.344
2005-06-23,-1.3712
2005-06-24,-0.7944
2005-06-27,0.1001
2005-06-28,-1.6
2005-06-29,1.626
2005-06-30,-0.85
2005-07-01,-2.1936
2005-07-05,0.5414
2005-07-06,-0.7179
2005-07-07,-1.8079
2005-07-08,9.4161
2005-07-11,4.9519
2005-07-12,0.9162
2005-07-13,-3.2683
2005-07-14,0.1877
2005-07-15,3.0445
2005-07-18,-2.7727
2005-07-19,4.3478
2005-07-20,1.8145
2005-07-21,-3.8064
2005-07-22,4.0714
2005-07-25,0.1758
2005-07-26,2.7205
2005-07-27,23.3661
2005-07-28,-0.5886
2005-07-29,11.6684
2005-08-01,1.2165
2005-08-02,-3.02
2005-08-03,-1.6364999999999998
2005-08-04,-0.3715
2005-08-05,-0.1297
2005-08-08,2.7273
2005-08-09,1.1694
2005-08-10,0.4686
2005-08-11,-0.7774
2005-08-12,0.5954
2005-08-15,1.1215
2005-08-16,2.0641
2005-08-17,0.7848
2005-08-18,1.9466999999999999
2005-08-19,7.7556
2005-08-22,2.1538
2005-08-23,-1.708
2005-08-24,-1.0046
