ticker,KLDO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-02-28,-5.1333
2019-03-01,3.7948
2019-03-04,1.5572
2019-03-05,-4.9333
2019-03-06,-6.7321
2019-03-07,-4.4361
2019-03-08,0.9441
2019-03-11,5.2221
2019-03-12,-0.5185
2019-03-13,0.8935
2019-03-14,-0.2952
2019-03-15,-0.074
2019-03-18,-2.2222
2019-03-19,2.2727
2019-03-20,1.8519
2019-03-21,-1.6726999999999999
2019-03-22,2.071
2019-03-25,-1.7391
2019-03-26,2.4336
2019-03-27,4.2477
2019-03-28,-3.2459
2019-03-29,3.4975
2019-04-01,-3.4483
2019-04-02,-0.3571
2019-04-03,-0.1434
2019-04-04,-0.5025
2019-04-05,2.0924
2019-04-08,6.0071
2019-04-09,-3.2667
2019-04-10,-6.6161
2019-04-11,4.8708
2019-04-12,0.4222
2019-04-15,4.4849
2019-04-16,-4.9631
2019-04-17,4.6577
2019-04-18,-0.3372
2019-04-22,2.1651
2019-04-23,-0.9934
2019-04-24,0.4682
2019-04-25,-0.5326
2019-04-26,-5.6225000000000005
2019-04-29,2.9078
2019-04-30,-1.0338
2019-05-01,1.4624
2019-05-02,-1.8531
2019-05-03,1.049
2019-05-06,0.4844
2019-05-07,0.0689
2019-05-08,3.2347
2019-05-09,-3.0
2019-05-10,3.7801
2019-05-13,-1.0596
2019-05-14,1.7403
2019-05-15,-3.2895
2019-05-16,-0.7483
2019-05-17,1.5764
2019-05-20,22.1323
2019-05-21,-5.8011
2019-05-22,2.4633
2019-05-23,-4.0641
2019-05-24,4.9523
2019-05-28,-7.3906
2019-05-29,-2.5783
2019-05-30,-4.6629000000000005
2019-05-31,3.6352
2019-06-03,1.7856999999999998
2019-06-04,1.1905000000000001
2019-06-05,-14.1176
2019-06-06,8.0029
2019-06-07,-1.8692
2019-06-10,-3.0612
2019-06-11,-1.7544
2019-06-12,0.5714
2019-06-13,2.6989
2019-06-14,-1.3831
2019-06-17,-3.0154
2019-06-18,2.9646
2019-06-19,-8.3567
2019-06-20,0.3065
2019-06-21,-1.0695000000000001
2019-06-24,-4.7876
2019-06-25,2.5141999999999998
2019-06-26,-8.8608
2019-06-27,-2.3438
2019-06-28,3.1111
2019-07-01,-2.5862
2019-07-02,-7.0796
2019-07-03,-10.4762
2019-07-05,-3.4043
2019-07-08,3.8546
2019-07-09,-1.9088
2019-07-10,1.1892
2019-07-11,-1.4957
2019-07-12,-3.7961
2019-07-15,-2.2548
2019-07-16,-4.8443000000000005
