ticker,ARDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-19,0.7857
2014-06-20,1.4174
2014-06-23,5.87
2014-06-24,4.3564
2014-06-25,-2.277
2014-06-26,1.8123
2014-06-27,1.4622
2014-06-30,0.0627
2014-07-01,11.0833
2014-07-02,9.5829
2014-07-03,5.144
2014-07-07,-7.045
2014-07-08,-6.8421
2014-07-09,1.2429000000000001
2014-07-10,-7.9241
2014-07-11,7.5758
2014-07-14,-6.9859
2014-07-15,-0.0606
2014-07-16,-0.6667
2014-07-17,-0.9152
2014-07-18,-0.2463
2014-07-21,-6.1728
2014-07-22,6.9079
2014-07-23,-2.0923
2014-07-24,-0.7542
2014-07-25,-0.6333
2014-07-28,-2.0395
2014-07-29,1.8216999999999999
2014-07-30,-2.8754
2014-07-31,-4.8684
2014-08-01,-8.5062
2014-08-04,1.2094
2014-08-05,-2.7633
2014-08-06,-5.0691
2014-08-07,-2.6699
2014-08-08,-2.7431
2014-08-11,1.3675
2014-08-12,0.9275
2014-08-13,1.0025
2014-08-14,-0.8271
2014-08-15,-2.8357
2014-08-18,5.0644
2014-08-19,1.7974
2014-08-20,3.4109
2014-08-21,-3.2984
2014-08-22,1.1236
2014-08-25,5.0794
2014-08-26,1.5106000000000002
2014-08-27,3.4226
2014-08-28,7.4101
2014-08-29,0.2009
2014-09-02,-2.2727
2014-09-03,-1.71
2014-09-04,-1.357
2014-09-05,-1.3757
2014-09-08,2.432
2014-09-09,-3.9804
2014-09-10,0.0727
2014-09-11,-5.6686
2014-09-12,-2.1572
2014-09-15,9.5276
2014-09-16,-1.5816
2014-09-17,-4.748
2014-09-18,1.5337
2014-09-19,-4.003
2014-09-22,1.4162
2014-09-23,8.6889
2014-09-24,0.4996
2014-09-25,-0.9233
2014-09-26,1.362
2014-09-29,1.768
2014-09-30,-1.2509000000000001
2014-10-01,33.7087
2014-10-02,2.0
2014-10-03,15.9959
2014-10-06,7.3399
2014-10-07,-6.9623
2014-10-08,-6.4588
2014-10-09,-9.4762
2014-10-10,3.1562
2014-10-13,3.2126
2014-10-14,-1.1858
2014-10-15,-4.6
2014-10-16,8.8574
2014-10-17,0.0963
2014-10-20,-3.8961
2014-10-21,5.9059
2014-10-22,11.0586
2014-10-23,-2.2128
2014-10-24,-7.0931
2014-10-27,-5.9016
2014-10-28,1.0453
2014-10-29,0.4433
2014-10-30,-2.3541
2014-10-31,10.1457
2014-11-03,2.964
2014-11-04,-0.7086
2014-11-05,3.2114
2014-11-06,3.7597
