ticker,SMCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-29,9.5
2007-03-30,2.6256
2007-04-02,15.4616
2007-04-03,1.9268
2007-04-04,-3.9698
2007-04-05,-3.5433
2007-04-09,2.0408
2007-04-10,-2.0
2007-04-11,-2.6531000000000002
2007-04-12,3.2495
2007-04-13,-1.1168
2007-04-16,4.2094
2007-04-17,0.9852
2007-04-18,1.1707
2007-04-19,-4.6287
2007-04-20,-0.3033
2007-04-23,-0.1014
2007-04-24,-0.203
2007-04-25,5.2899
2007-04-26,-1.5459
2007-04-27,0.0981
2007-04-30,2.0588
2007-05-01,0.7685
2007-05-02,-0.858
2007-05-03,0.2885
2007-05-04,1.4382
2007-05-07,-0.0945
2007-05-08,-0.6623
2007-05-09,7.0476
2007-05-10,-9.6975
2007-05-11,2.4631
2007-05-14,0.2885
2007-05-15,-1.8216999999999999
2007-05-16,-1.3672
2007-05-17,-0.7921
2007-05-18,0.0
2007-05-21,0.1996
2007-05-22,0.0
2007-05-23,-0.3984
2007-05-24,-0.1
2007-05-25,0.5005
2007-05-29,-0.0996
2007-05-30,0.0
2007-05-31,0.2991
2007-06-01,-0.1988
2007-06-04,5.1793
2007-06-05,8.2386
2007-06-06,-2.0122
2007-06-07,-0.4464
2007-06-08,-4.4843
2007-06-11,-1.3134000000000001
2007-06-12,2.092
2007-06-13,-0.6524
2007-06-14,0.9381
2007-06-15,-0.187
2007-06-18,0.0943
2007-06-19,1.2093
2007-06-20,0.8272
2007-06-21,0.1823
2007-06-22,-4.1856
2007-06-25,-0.5698
2007-06-26,-2.1968
2007-06-27,1.6602000000000001
2007-06-28,-3.17
2007-06-29,-0.6944
2007-07-02,0.2997
2007-07-03,3.8845
2007-07-05,-1.534
2007-07-06,-0.8763
2007-07-09,0.2947
2007-07-10,-2.0568
2007-07-11,0.0
2007-07-12,-0.9
2007-07-13,-5.0454
2007-07-16,4.0383
2007-07-17,0.6129
2007-07-18,0.5076
2007-07-19,0.9078
2007-07-20,-0.2991
2007-07-23,0.4016
2007-07-24,0.0
2007-07-25,0.3
2007-07-26,-3.0907
2007-07-27,-3.9095
2007-07-30,-4.818
2007-07-31,0.6749
2007-08-01,2.2346
2007-08-02,0.2186
2007-08-03,-2.9444
2007-08-06,-2.9213
2007-08-07,-0.3472
2007-08-08,1.626
2007-08-09,2.8571
2007-08-10,-2.7778
2007-08-13,-0.3429
2007-08-14,0.2294
2007-08-15,-0.4577
2007-08-16,-3.4483
2007-08-17,1.6652
