ticker,PLYN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-02-12,0.0
2020-02-18,-75.0
2020-02-19,100.0
2020-03-26,12.0
2020-03-30,-53.5714
2020-04-24,192.3077
2020-05-22,5.2632
2020-05-29,0.0
2020-06-01,31.25
2020-06-02,1.9048
2020-06-03,3.7382999999999997
2020-06-04,3.6036
2020-06-05,-1.7391
2020-06-08,1.3274
2020-06-09,13.5371
2020-06-10,1.5385
2020-06-11,5.7197
2020-06-12,-5.4102
2020-06-15,-16.6667
2020-06-16,26.3636
2020-06-17,-3.5971
2020-06-18,0.7463
2020-06-19,0.0
2020-06-22,-1.4815
2020-06-23,12.782
2020-06-24,0.6667
2020-06-25,-3.9735
2020-06-26,4.4828
2020-06-29,0.9901
2020-06-30,3.9215999999999998
2020-07-01,1.2579
2020-07-02,3.7267
2020-07-06,1.1976
2020-07-07,-3.5503
2020-07-08,4.2945
2020-07-09,-6.4706
2020-07-10,3.7736
2020-07-13,3.0303
2020-07-14,-11.7647
2020-07-15,8.6667
2020-07-16,-4.2945
2020-07-17,2.5641
2020-07-20,-10.0
2020-07-21,14.5833
2020-07-22,-1.8182
2020-07-23,6.1728
2020-07-24,0.0
2020-07-27,-4.0698
2020-07-28,3.0303
2020-07-29,-2.9412000000000003
2020-07-30,-10.303
2020-07-31,-4.7297
