ticker,AVRI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-07,3.5714
2007-02-28,-8.2759
2007-03-06,9.0226
2007-03-19,3.4483
2007-05-30,-6.6667
2007-05-31,0.0
2007-06-04,7.1429
2007-06-12,-6.6667
2007-06-13,0.0
2007-06-15,0.0
2007-06-21,0.0
2007-06-25,0.0
2007-06-29,0.0
2007-07-05,7.1429
2007-07-06,-3.3333
2007-07-25,-3.4483
2007-07-26,5.7143
2007-07-27,-5.4054
2007-07-31,0.0
2007-08-01,3.5714
2007-08-29,-3.4483
2007-08-31,0.0
2007-09-05,0.0
2007-09-19,0.0
2007-09-20,0.0
2007-09-27,0.0
2007-10-03,0.0
2007-10-17,0.0
2007-10-25,0.0
2007-10-26,0.0
2007-10-30,0.0
2007-10-31,0.0
2007-11-13,7.1429
2007-11-28,-0.6667
2008-03-14,-2.6846
2008-04-07,0.0
2008-04-22,0.0
2008-04-24,0.0
2008-04-28,0.0
2008-04-29,0.0
2008-04-30,0.0
2008-05-01,0.0
2008-05-09,0.0
2008-05-12,-4.8276
2008-05-13,5.0725
2008-05-20,0.0
2008-05-21,0.0
2008-05-27,0.0
2008-05-30,-4.8276
2008-06-05,5.0725
2008-06-12,0.0
2008-06-19,0.0
2008-06-23,3.3103
2008-06-24,-0.534
2008-06-25,0.0
2008-06-26,-0.6711
2008-06-27,0.0
2008-06-30,0.0
2008-07-01,0.0
2008-07-07,-5.4054
2008-07-08,5.0
2008-07-09,-4.7619
2008-07-15,0.0
2008-07-16,-1.4285999999999999
2008-07-23,0.7246
2008-07-30,0.0
2008-08-05,0.7194
2008-09-03,3.5714
2008-09-22,-4.8276
2008-09-26,8.550699999999999
2008-09-29,-3.2043
2008-09-30,-3.4483
2008-10-22,6.4286
2008-10-24,0.5369
2008-10-31,2.8037
2008-11-03,-80.5195
2008-11-04,766.6667
2008-12-15,-23.0769
2009-03-19,-87.0
2009-03-20,-23.0769
2009-03-23,150.0
2009-03-24,20.0
2009-03-25,-82.6667
2009-03-27,92.3077
2009-03-30,-40.0
2009-05-04,-50.0
2009-05-08,0.0
2009-06-18,133.3333
2009-07-06,-28.5714
2009-07-15,0.0
2009-07-29,60.0
2009-07-30,87.5
2009-08-10,-66.6667
2009-08-17,-78.0
2009-08-21,263.6364
2009-08-25,-12.5
2009-09-11,-1.4285999999999999
2009-09-24,-42.029
2009-10-07,0.0
2009-10-14,25.0
2009-10-15,0.0
2009-10-21,0.0
2009-10-30,0.0
2009-11-03,-20.0
