ticker,CIBN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.7027
2000-01-11,4.8611
2000-01-13,-9.9338
2000-01-19,-2.9412000000000003
2000-01-31,9.9572
2000-02-02,-6.9444
2000-02-08,1.4925
2000-02-11,0.0
2000-02-14,0.0
2000-02-17,-2.9412000000000003
2000-02-22,3.0303
2000-02-25,-2.9412000000000003
2000-02-29,1.5152
2000-03-07,-1.4925
2000-03-08,0.0
2000-03-13,-1.5152
2000-03-20,1.5385
2000-03-21,-1.5152
2000-03-22,0.0
2000-03-23,0.0
2000-03-27,0.0
2000-04-04,0.0
2000-04-06,0.0
2000-04-10,0.0
2000-04-14,0.0
2000-04-20,2.3385
2000-04-24,-1.5152
2000-05-04,0.0
2000-05-15,4.6154
2000-05-16,-4.4118
2000-05-17,0.0
2000-05-23,1.5385
2000-05-30,3.0303
2000-05-31,-2.9412000000000003
2000-06-14,0.0
2000-06-27,-1.5152
2000-06-28,-0.7692
2000-07-05,0.7752
2000-07-11,0.0
2000-07-13,0.0
2000-07-14,0.0
2000-07-17,1.5385
2000-07-19,0.0
2000-08-03,3.912
2000-08-04,0.0
2000-08-07,-4.4118
2000-08-09,0.0
2000-08-11,0.0
2000-08-16,0.0
2000-08-18,0.0
2000-08-23,1.5385
2000-08-28,-3.0303
2000-08-29,4.6875
2000-09-11,-1.4925
2000-09-18,-3.0303
2000-09-19,1.5625
2000-09-25,-1.5385
2000-09-27,1.5625
2000-09-29,0.0
2000-10-02,0.0
2000-10-05,-1.5385
2000-10-09,0.0
2000-10-19,0.0
2000-10-24,4.0353
2000-10-30,-3.0303
2000-11-08,1.5625
2000-11-09,-1.5385
2000-11-10,0.0
2000-11-13,1.5625
2000-11-14,0.0
2000-11-21,1.5385
2000-11-28,0.0
2000-12-01,0.0
2000-12-14,1.5152
2000-12-18,0.0
2001-01-02,-1.4925
2001-01-04,0.7576
2001-01-11,0.7519
2001-01-16,-0.5597
2001-01-17,-0.1876
2001-01-24,1.6075
2001-01-25,-0.7463
2001-01-30,5.2632
2001-02-01,-5.0
2001-02-02,1.5038
2001-02-05,-1.4815
2001-02-07,0.0
2001-02-09,0.0
2001-02-12,3.7594
2001-02-13,-2.1739
2001-02-15,-1.4815
2001-02-16,0.0
2001-02-21,0.0
2001-02-26,0.0
2001-03-02,0.0
2001-03-05,0.0
2001-03-08,1.3158
2001-03-16,-1.2987
2001-03-19,0.0
2001-03-20,0.0
2001-03-21,1.5038
2001-03-22,-1.4815
