ticker,DRCR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-03-08,104.0
2011-05-09,27.451
2011-05-12,15.3846
2011-05-25,0.0
2011-06-01,-4.0
2011-08-02,-29.1667
2011-08-03,66.6667
2011-09-01,-64.7059
2011-09-02,200.0
2012-06-26,0.0
2012-06-27,11.1111
2012-07-02,1.0
2012-08-29,-30.6931
2012-10-18,0.0
2012-11-05,-27.1429
2012-12-31,0.0
2015-09-22,27.451
2015-09-23,3.8462
2015-12-16,3.7037
2016-01-08,3.5714
2016-08-23,37.931
2016-08-25,0.0
2016-12-06,0.0
2016-12-12,-30.0
2019-10-30,-27.1429
2019-11-12,98.0392
2019-11-18,-0.9901
2019-11-22,-15.0
2020-03-24,-70.5882
2020-06-10,140.0
2020-06-16,24.9833
2020-06-17,0.0
2020-06-24,0.0
2020-06-29,-66.6622
