ticker,BCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-02-06,24.5238
2013-02-07,4.3595
2013-02-08,0.9894
2013-02-11,-1.4877
2013-02-12,1.2155
2013-02-13,1.2009
2013-02-14,-0.827
2013-02-15,1.3053
2013-02-19,-0.7874
2013-02-20,-3.3189
2013-02-21,-1.8284
2013-02-22,1.8624
2013-02-25,1.4552
2013-02-26,-1.986
2013-02-27,1.3133
2013-02-28,0.3704
2013-03-01,1.3284
2013-03-04,0.9832
2013-03-05,3.2456
2013-03-06,1.1177
2013-03-07,5.1468
2013-03-08,-1.2484
2013-03-11,-1.2309
2013-03-12,0.842
2013-03-13,1.1356
2013-03-14,5.0198
2013-03-15,2.6101
2013-03-18,-1.3485
2013-03-19,3.3861
2013-03-20,0.7512
2013-03-21,0.2088
2013-03-22,-2.0833
2013-03-25,1.0638
2013-03-26,0.4511
2013-03-27,2.3653
2013-03-28,-0.7312
2013-04-01,-6.8651
2013-04-02,-4.429
2013-04-03,-3.0122
2013-04-04,3.3788
2013-04-05,1.7498
2013-04-08,2.4335
2013-04-09,0.1584
2013-04-10,-2.3719
2013-04-11,1.0366
2013-04-12,-2.1161
2013-04-15,-5.4045
2013-04-16,4.813
2013-04-17,-1.4866
2013-04-18,2.6492
2013-04-19,-1.1107
2013-04-22,5.4509
2013-04-23,1.0652
2013-04-24,4.1538
2013-04-25,-1.8155000000000001
2013-04-26,-0.6669
2013-04-29,-3.7229
2013-04-30,1.5213999999999999
2013-05-01,-2.8411
2013-05-02,-0.2571
2013-05-03,-0.6443
2013-05-06,-4.7017
2013-05-07,2.722
2013-05-08,-0.53
2013-05-09,0.333
2013-05-10,-0.5974
2013-05-13,-0.8347
2013-05-14,0.8754
2013-05-15,0.7343
2013-05-16,-2.1537
2013-05-17,0.4402
2013-05-20,-1.0789
2013-05-21,0.6135
2013-05-22,-0.542
2013-05-23,-1.9755
2013-05-24,1.2509000000000001
2013-05-28,-0.103
2013-05-29,0.2405
2013-05-30,2.3646
2013-05-31,0.6361
2013-06-03,-3.4265
2013-06-04,-4.9948
2013-06-05,-3.2995
2013-06-06,1.0124
2013-06-07,1.7446000000000002
2013-06-10,0.5108
2013-06-11,-1.9964
2013-06-12,-2.7407
2013-06-13,0.7997
2013-06-14,-0.34
2013-06-17,3.3738
2013-06-18,1.9069
2013-06-19,1.1515
2013-06-20,-1.7431999999999999
2013-06-21,-0.6155
2013-06-24,-3.8616
2013-06-25,-0.0379
2013-06-26,-3.9045
