ticker,CATM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-11,-5.0
2007-12-12,5.2632
2007-12-13,-1.0737
2007-12-14,1.0854
2007-12-17,-2.5
2007-12-18,2.5641
2007-12-19,-1.0
2007-12-20,0.404
2007-12-21,0.2012
2007-12-24,0.1004
2007-12-26,1.6048
2007-12-27,1.1846
2007-12-28,-2.439
2007-12-31,1.1
2008-01-02,-1.9782
2008-01-03,-2.3209
2008-01-04,-4.9587
2008-01-07,-0.3261
2008-01-08,-1.5267
2008-01-09,-3.1008
2008-01-10,-1.2570999999999999
2008-01-11,1.8519
2008-01-14,-0.9659
2008-01-15,-2.467
2008-01-16,-1.5293999999999999
2008-01-17,-2.1505
2008-01-18,2.8083
2008-01-22,-1.9002
2008-01-23,1.3317
2008-01-24,-0.9558
2008-01-25,-1.0856
2008-01-28,0.122
2008-01-29,0.3654
2008-01-30,-2.9126
2008-01-31,-2.125
2008-02-01,3.9591
2008-02-04,-2.9484
2008-02-05,0.6329
2008-02-06,0.6289
2008-02-07,0.0
2008-02-08,-0.375
2008-02-11,1.2547
2008-02-12,-0.7435
2008-02-13,-0.7491
2008-02-14,-0.8805
2008-02-15,-0.3807
2008-02-19,-0.6369
2008-02-20,-1.4102999999999999
2008-02-21,-0.9103
2008-02-22,-3.6745
2008-02-25,-4.2234
2008-02-26,0.9957
2008-02-27,-0.7042
2008-02-28,5.8156
2008-02-29,-3.2172
2008-03-03,3.8781
2008-03-04,-2.4
2008-03-05,-4.7814
2008-03-06,0.5739
2008-03-07,-0.8559
2008-03-10,1.1511
2008-03-11,-0.1422
2008-03-12,0.8547
2008-03-13,-3.1073
2008-03-14,4.6647
2008-03-17,-5.2925
2008-03-18,16.1765
2008-03-19,-5.1899
2008-03-20,-1.7356
2008-03-24,6.6576
2008-03-25,0.6369
2008-03-26,-1.1392
2008-03-27,-2.0487
2008-03-28,-6.6667
2008-03-31,-2.3810000000000002
2008-04-01,2.2956
2008-04-02,-4.2076
2008-04-03,4.6852
2008-04-04,3.9161
2008-04-07,4.7106
2008-04-08,1.2852999999999999
2008-04-09,-3.2995
2008-04-10,3.1496
2008-04-11,-10.3053
2008-04-14,1.7021
2008-04-15,4.463
2008-04-16,0.534
2008-04-17,3.0544
2008-04-18,3.6082
2008-04-21,0.7463
2008-04-22,-0.6173
2008-04-23,-0.6211
2008-04-24,2.25
2008-04-25,5.6235
2008-04-28,0.0
2008-04-29,-0.5787
2008-04-30,-3.4924
2008-05-01,0.6031
