ticker,FANH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-31,58.0625
2007-11-01,-5.4962
2007-11-02,2.9289
2007-11-05,-6.9106
2007-11-06,-5.9389
2007-11-07,-8.9601
2007-11-08,-4.1815
2007-11-09,-0.479
2007-11-12,5.5615
2007-11-13,3.1915
2007-11-14,-5.4983
2007-11-15,-6.4935
2007-11-16,-4.0167
2007-11-19,-7.9701
2007-11-20,-12.0755
2007-11-21,-7.01
2007-11-23,22.1538
2007-11-26,11.335
2007-11-27,-0.4525
2007-11-28,5.1136
2007-11-29,-0.2703
2007-11-30,-2.71
2007-12-03,-5.2925
2007-12-04,-2.9412000000000003
2007-12-05,0.0606
2007-12-06,0.7268
2007-12-07,3.7883
2007-12-10,1.9699
2007-12-11,7.3864
2007-12-12,-1.0582
2007-12-13,-7.754
2007-12-14,-7.8841
2007-12-17,-12.0201
2007-12-18,3.7196
2007-12-19,-2.8966
2007-12-20,-4.9716000000000005
2007-12-21,-0.5979
2007-12-24,7.1429
2007-12-26,4.8421
2007-12-27,-3.6145
2007-12-28,-2.7778
2007-12-31,12.5
2008-01-02,-7.9365
2008-01-03,-3.4483
2008-01-04,-3.5
2008-01-07,5.3294
2008-01-08,1.4758
2008-01-09,1.108
2008-01-10,1.3699
2008-01-11,-4.2568
2008-01-14,-9.1037
2008-01-15,-20.1863
2008-01-16,-3.6965
2008-01-17,2.8283
2008-01-18,9.6279
2008-01-22,-6.6319
2008-01-23,5.1823
2008-01-24,4.927
2008-01-25,8.7826
2008-01-28,-0.4796
2008-01-29,-2.49
2008-01-30,-7.9077
2008-01-31,-3.9356
2008-02-01,0.838
2008-02-04,3.2318
2008-02-05,-5.1878
2008-02-06,0.0943
2008-02-07,-0.754
2008-02-08,-2.4691
2008-02-11,-1.9474
2008-02-12,-0.1986
2008-02-13,-0.2985
2008-02-14,-0.8982
2008-02-15,-1.007
2008-02-19,0.7121
2008-02-20,0.0
2008-02-21,-0.5051
2008-02-22,-0.9137
2008-02-25,0.7172
2008-02-26,16.9888
2008-02-27,14.1739
2008-02-28,-1.3709
2008-02-29,-1.9304999999999999
2008-03-03,3.7785
2008-03-04,-3.9445
2008-03-05,-0.079
2008-03-06,-6.3241
2008-03-07,0.0844
2008-03-10,-3.1197
2008-03-11,0.4352
2008-03-12,-4.5927
2008-03-13,5.4496
2008-03-14,-1.1197
2008-03-17,-2.7003
2008-03-18,9.6688
2008-03-19,0.2449
2008-03-20,-2.8502
2008-03-24,-3.2272
